,date,open,high,low,close,adjcp,volume,tic,day
4,2012-01-03,92.7699966430664,95.11000061035156,92.7699966430664,93.9800033569336,69.8081283569336,8177000,CAT,1
33,2012-01-04,93.41000366210938,95.51000213623047,93.41000366210938,94.8499984741211,70.45435333251953,7335200,CAT,2
62,2012-01-05,94.83999633789062,96.16000366210938,93.9000015258789,95.5199966430664,70.95201873779297,5555900,CAT,3
91,2012-01-06,96.02999877929688,96.19999694824219,95.31999969482422,95.76000213623047,71.13029479980469,5474100,CAT,4
120,2012-01-09,96.08999633789062,97.41000366210938,96.0,97.0999984741211,72.12567138671875,6536300,CAT,0
149,2012-01-10,98.44999694824219,99.9800033569336,98.27999877929688,99.95999908447266,74.25006866455078,9545000,CAT,1
178,2012-01-11,99.83000183105469,100.44999694824219,99.4000015258789,99.63999938964844,74.01236724853516,7226500,CAT,2
207,2012-01-12,99.98999786376953,102.04000091552734,98.66000366210938,101.94000244140625,75.72081756591797,10471800,CAT,3
236,2012-01-13,100.72000122070312,102.69999694824219,100.55000305175781,102.4800033569336,76.12191009521484,9914300,CAT,4
265,2012-01-17,103.81999969482422,104.80000305175781,103.31999969482422,103.37000274658203,76.78302001953125,8864700,CAT,1
294,2012-01-18,102.66000366210938,104.5,102.5,104.26000213623047,77.7902603149414,6794400,CAT,2
323,2012-01-19,104.6500015258789,105.76000213623047,103.62999725341797,105.75,78.90194702148438,9464800,CAT,3
352,2012-01-20,105.3499984741211,105.91999816894531,104.83999633789062,105.63999938964844,78.81989288330078,6601100,CAT,4
381,2012-01-23,105.91000366210938,107.23999786376953,105.63999938964844,106.37000274658203,79.36456298828125,7003800,CAT,0
410,2012-01-24,105.43000030517578,106.80000305175781,105.1500015258789,106.29000091552734,79.30488586425781,5577300,CAT,1
439,2012-01-25,106.0,109.27999877929688,105.98999786376953,109.05000305175781,81.3641586303711,10649400,CAT,2
468,2012-01-26,112.20999908447266,114.0,110.69999694824219,111.30999755859375,83.05040740966797,18539000,CAT,3
497,2012-01-27,110.52999877929688,111.9800033569336,109.66999816894531,111.27999877929688,83.02799987792969,7835100,CAT,4
526,2012-01-30,110.0199966430664,110.75,104.44999694824219,110.41000366210938,82.37889862060547,5968400,CAT,0
555,2012-01-31,111.29000091552734,112.0,108.70999908447266,109.12000274658203,81.41641998291016,7608300,CAT,1
584,2012-02-01,110.75,111.38999938964844,109.94000244140625,110.5199966430664,82.46096801757812,6737900,CAT,2
613,2012-02-02,110.80000305175781,111.0199966430664,109.86000061035156,110.33000183105469,82.3192138671875,5125400,CAT,3
642,2012-02-03,112.16999816894531,114.6500015258789,111.9000015258789,113.94000244140625,85.01268005371094,10225500,CAT,4
671,2012-02-06,113.23999786376953,114.25,112.80000305175781,113.77999877929688,84.89329528808594,5029600,CAT,0
700,2012-02-07,113.05000305175781,114.0999984741211,112.48999786376953,113.80999755859375,84.91567993164062,5139200,CAT,1
729,2012-02-08,113.81999969482422,114.33000183105469,113.22000122070312,114.04000091552734,85.08728790283203,4123800,CAT,2
758,2012-02-09,114.38999938964844,114.63999938964844,112.58999633789062,112.83000183105469,84.18448638916016,7566200,CAT,3
787,2012-02-10,111.01000213623047,111.77999877929688,110.33000183105469,111.75,83.37869262695312,6351700,CAT,4
816,2012-02-13,112.69999694824219,113.86000061035156,111.68000030517578,113.69999694824219,84.83361053466797,5702400,CAT,0
845,2012-02-14,113.31999969482422,114.4800033569336,113.20999908447266,114.44999694824219,85.39320373535156,6425000,CAT,1
874,2012-02-15,114.48999786376953,114.69999694824219,111.94000244140625,112.52999877929688,83.96064758300781,8201900,CAT,2
903,2012-02-16,112.72000122070312,114.05000305175781,112.38999938964844,113.95999908447266,85.027587890625,5456900,CAT,3
932,2012-02-17,114.37999725341797,114.5,113.02999877929688,113.94999694824219,85.02013397216797,4296000,CAT,4
961,2012-02-21,114.5,116.44000244140625,114.38999938964844,115.0,85.80358123779297,7520200,CAT,1
990,2012-02-22,114.76000213623047,116.44999694824219,114.5,115.80999755859375,86.40794372558594,5004800,CAT,2
1019,2012-02-23,115.87999725341797,116.44999694824219,115.0,116.19999694824219,86.69889831542969,5064900,CAT,3
1048,2012-02-24,116.29000091552734,116.94999694824219,115.66999816894531,116.0,86.5496826171875,4473500,CAT,4
1077,2012-02-27,114.83999633789062,116.5,114.55000305175781,115.62999725341797,86.27359771728516,4909600,CAT,0
1106,2012-02-28,115.80999755859375,116.22000122070312,115.19999694824219,115.76000213623047,86.37059783935547,4013200,CAT,1
1135,2012-02-29,116.12999725341797,116.4000015258789,113.68000030517578,114.20999908447266,85.2141342163086,6780300,CAT,2
1164,2012-03-01,114.66999816894531,115.37999725341797,113.01000213623047,113.38999938964844,84.60230255126953,7465000,CAT,3
1193,2012-03-02,113.16000366210938,113.94000244140625,111.80000305175781,112.48999786376953,83.9308090209961,5404800,CAT,4
1222,2012-03-05,111.55000305175781,111.9000015258789,109.5199966430664,110.08999633789062,82.1401138305664,8392200,CAT,0
1251,2012-03-06,106.56999969482422,107.16000366210938,105.19999694824219,105.93000030517578,79.0362777709961,12630800,CAT,1
1280,2012-03-07,106.66000366210938,108.62000274658203,106.31999969482422,108.27999877929688,80.78966522216797,7385800,CAT,2
1309,2012-03-08,109.58999633789062,110.55999755859375,108.66000366210938,110.27999877929688,82.28189849853516,6171200,CAT,3
1338,2012-03-09,110.87999725341797,111.08999633789062,109.80000305175781,110.22000122070312,82.23712158203125,6526500,CAT,4
1367,2012-03-12,110.11000061035156,110.94999694824219,108.68000030517578,108.94000244140625,81.28208923339844,6499200,CAT,0
1396,2012-03-13,109.7300033569336,113.37999725341797,109.30999755859375,113.30000305175781,84.53517150878906,8077600,CAT,1
1425,2012-03-14,113.20999908447266,113.44999694824219,111.26000213623047,112.2699966430664,83.76667022705078,6181000,CAT,2
1454,2012-03-15,112.87999725341797,113.4800033569336,111.38999938964844,113.44999694824219,84.6470947265625,5316700,CAT,3
1483,2012-03-16,114.0199966430664,114.25,113.04000091552734,113.58000183105469,84.74406433105469,5776000,CAT,4
1512,2012-03-19,113.5,114.08999633789062,112.77999877929688,113.7300033569336,84.85601806640625,4736500,CAT,0
1541,2012-03-20,111.98999786376953,112.0,110.51000213623047,110.76000213623047,82.6400375366211,8086900,CAT,1
1570,2012-03-21,110.8499984741211,111.3499984741211,109.0,109.0,81.32685852050781,7925000,CAT,2
1599,2012-03-22,107.27999877929688,107.94000244140625,105.69999694824219,106.43000030517578,79.40933990478516,9449700,CAT,3
1628,2012-03-23,106.58999633789062,108.61000061035156,105.80000305175781,107.83000183105469,80.45388793945312,6025000,CAT,4
1657,2012-03-26,108.80000305175781,109.69999694824219,108.12000274658203,108.75,81.14031219482422,4570800,CAT,0
1686,2012-03-27,108.68000030517578,109.56999969482422,107.87999725341797,108.05999755859375,80.62550354003906,4211400,CAT,1
1715,2012-03-28,107.95999908447266,107.97000122070312,103.55000305175781,104.26000213623047,77.7902603149414,10244900,CAT,2
1744,2012-03-29,103.62000274658203,106.2699966430664,103.4800033569336,106.0199966430664,79.1034164428711,8316800,CAT,3
1773,2012-03-30,106.69999694824219,106.93000030517578,105.58000183105469,106.5199966430664,79.47650146484375,4780300,CAT,4
1802,2012-04-02,105.98999786376953,107.94000244140625,105.04000091552734,107.25,80.02115631103516,5211700,CAT,0
1831,2012-04-03,107.63999938964844,108.08999633789062,105.81999969482422,106.20999908447266,79.24517822265625,5828000,CAT,1
1860,2012-04-04,104.7699966430664,106.83999633789062,104.33999633789062,106.26000213623047,79.282470703125,5583200,CAT,2
1889,2012-04-05,105.70999908447266,107.13999938964844,105.41000366210938,105.87000274658203,78.99151611328125,4576600,CAT,3
1918,2012-04-09,103.56999969482422,104.29000091552734,102.80000305175781,103.56999969482422,77.27543640136719,6335700,CAT,0
1947,2012-04-10,103.54000091552734,103.66000366210938,99.80000305175781,100.43000030517578,74.9326400756836,9162300,CAT,1
1976,2012-04-11,101.7699966430664,102.5,100.5,101.75,75.91749572753906,6178100,CAT,2
2005,2012-04-12,102.16999816894531,106.5,102.12999725341797,106.44000244140625,79.41678619384766,8973200,CAT,3
2034,2012-04-13,106.16000366210938,106.91999816894531,105.23999786376953,105.88999938964844,79.00642395019531,6321600,CAT,4
2063,2012-04-16,107.91999816894531,108.95999908447266,106.16000366210938,106.73999786376953,79.640625,6813500,CAT,0
2092,2012-04-17,107.9000015258789,109.19999694824219,106.72000122070312,108.41000366210938,80.88665771484375,5321000,CAT,1
2121,2012-04-18,107.6500015258789,109.7300033569336,107.6500015258789,109.20999908447266,81.48353576660156,4871700,CAT,2
2150,2012-04-19,109.20999908447266,109.7699966430664,106.37000274658203,107.36000061035156,80.44205474853516,5628500,CAT,3
2179,2012-04-20,107.7699966430664,108.62000274658203,107.61000061035156,107.7300033569336,80.71927642822266,4014600,CAT,4
2208,2012-04-23,106.33000183105469,107.04000091552734,105.12000274658203,106.9000015258789,80.0973892211914,5462600,CAT,0
2237,2012-04-24,107.25,108.79000091552734,107.0999984741211,108.4000015258789,81.22129821777344,5703200,CAT,1
2266,2012-04-25,106.8499984741211,107.11000061035156,102.30000305175781,103.44000244140625,77.50489807128906,15948300,CAT,2
2295,2012-04-26,103.97000122070312,104.55000305175781,103.0,104.38999938964844,78.21671295166016,7317200,CAT,3
2324,2012-04-27,104.98999786376953,105.05000305175781,104.11000061035156,104.55999755859375,78.34407043457031,4687200,CAT,4
2353,2012-04-30,103.98999786376953,104.12000274658203,102.55000305175781,102.7699966430664,77.00287628173828,5325600,CAT,0
