,date,open,high,low,close,adjcp,volume,tic,day
5,2012-01-03,26.045000076293945,26.510000228881836,25.225000381469727,25.299999237060547,25.299999237060547,12983600,CRM,1
34,2012-01-04,24.747499465942383,24.875,24.06999969482422,24.3700008392334,24.3700008392334,19788400,CRM,2
63,2012-01-05,24.235000610351562,24.987499237060547,23.790000915527344,24.6924991607666,24.6924991607666,14988800,CRM,3
92,2012-01-06,24.7450008392334,25.3125,24.212499618530273,25.264999389648438,25.264999389648438,17464400,CRM,4
121,2012-01-09,25.204999923706055,25.459999084472656,24.88249969482422,25.1875,25.1875,13761600,CRM,0
150,2012-01-10,25.69499969482422,26.202499389648438,25.415000915527344,26.197500228881836,26.197500228881836,17688400,CRM,1
179,2012-01-11,26.3700008392334,26.924999237060547,26.252500534057617,26.454999923706055,26.454999923706055,14204000,CRM,2
208,2012-01-12,26.397499084472656,26.59749984741211,26.125,26.420000076293945,26.420000076293945,6792000,CRM,3
237,2012-01-13,26.149999618530273,26.21500015258789,25.667499542236328,25.975000381469727,25.975000381469727,8543600,CRM,4
266,2012-01-17,26.0575008392334,26.497499465942383,25.719999313354492,25.860000610351562,25.860000610351562,7567600,CRM,1
295,2012-01-18,25.84749984741211,27.065000534057617,25.5674991607666,26.924999237060547,26.924999237060547,11434400,CRM,2
324,2012-01-19,27.837499618530273,28.969999313354492,27.837499618530273,28.627500534057617,28.627500534057617,20426000,CRM,3
353,2012-01-20,28.36750030517578,28.822500228881836,28.149999618530273,28.547500610351562,28.547500610351562,9362800,CRM,4
382,2012-01-23,28.55500030517578,29.274999618530273,28.272499084472656,28.6875,28.6875,9100000,CRM,0
411,2012-01-24,28.717500686645508,29.457500457763672,28.65250015258789,29.38249969482422,29.38249969482422,7864000,CRM,1
440,2012-01-25,29.65999984741211,29.65999984741211,28.957500457763672,29.53499984741211,29.53499984741211,6836000,CRM,2
469,2012-01-26,29.850000381469727,29.99250030517578,28.885000228881836,29.05500030517578,29.05500030517578,6778000,CRM,3
498,2012-01-27,28.8125,29.520000457763672,28.702499389648438,29.149999618530273,29.149999618530273,5397600,CRM,4
527,2012-01-30,28.93000030517578,29.337499618530273,28.6299991607666,28.892499923706055,28.892499923706055,10216800,CRM,0
556,2012-01-31,29.270000457763672,29.34000015258789,28.662500381469727,29.200000762939453,29.200000762939453,5320800,CRM,1
585,2012-02-01,29.337499618530273,29.997499465942383,28.905000686645508,29.829999923706055,29.829999923706055,7516800,CRM,2
614,2012-02-02,29.737499237060547,30.112499237060547,29.262500762939453,29.56999969482422,29.56999969482422,8062800,CRM,3
643,2012-02-03,29.834999084472656,31.197500228881836,29.834999084472656,31.024999618530273,31.024999618530273,11595600,CRM,4
672,2012-02-06,30.802499771118164,31.162500381469727,30.600000381469727,30.8075008392334,30.8075008392334,6050000,CRM,0
701,2012-02-07,30.709999084472656,30.975000381469727,30.454999923706055,30.700000762939453,30.700000762939453,5415600,CRM,1
730,2012-02-08,30.829999923706055,30.985000610351562,30.217500686645508,30.950000762939453,30.950000762939453,5908000,CRM,2
759,2012-02-09,30.854999542236328,31.924999237060547,30.782499313354492,31.40250015258789,31.40250015258789,9218800,CRM,3
788,2012-02-10,32.02750015258789,32.525001525878906,31.729999542236328,32.11000061035156,32.11000061035156,16473600,CRM,4
817,2012-02-13,32.45000076293945,33.33250045776367,32.349998474121094,33.057498931884766,33.057498931884766,17785600,CRM,0
846,2012-02-14,33.037498474121094,33.682498931884766,32.474998474121094,32.900001525878906,32.900001525878906,10091600,CRM,1
