,date,open,high,low,close,adjcp,volume,tic,day
6,2012-01-03,18.549999237060547,18.860000610351562,18.479999542236328,18.6299991607666,13.548558235168457,41236600,CSCO,1
35,2012-01-04,18.440000534057617,19.0,18.350000381469727,18.989999771118164,13.810364723205566,52927700,CSCO,2
64,2012-01-05,18.93000030517578,19.0,18.670000076293945,18.920000076293945,13.759458541870117,37865300,CSCO,3
93,2012-01-06,18.950000762939453,19.0,18.829999923706055,18.850000381469727,13.708555221557617,27796900,CSCO,4
122,2012-01-09,18.8700008392334,19.100000381469727,18.790000915527344,18.969999313354492,13.795825004577637,37811500,CSCO,0
151,2012-01-10,19.079999923706055,19.25,18.770000457763672,18.829999923706055,13.694011688232422,45488300,CSCO,1
180,2012-01-11,18.940000534057617,19.139999389648438,18.8700008392334,19.06999969482422,13.868545532226562,32482200,CSCO,2
209,2012-01-12,19.1200008392334,19.200000762939453,18.959999084472656,19.149999618530273,13.926726341247559,31101700,CSCO,3
238,2012-01-13,19.010000228881836,19.170000076293945,18.8799991607666,19.059999465942383,13.861276626586914,32143700,CSCO,4
267,2012-01-17,19.229999542236328,19.31999969482422,19.110000610351562,19.309999465942383,14.043086051940918,40402800,CSCO,1
296,2012-01-18,19.3700008392334,19.6299991607666,19.329999923706055,19.540000915527344,14.210351943969727,56573500,CSCO,2
325,2012-01-19,19.68000030517578,19.950000762939453,19.600000381469727,19.790000915527344,14.392163276672363,52482100,CSCO,3
354,2012-01-20,19.75,19.93000030517578,19.670000076293945,19.920000076293945,14.486706733703613,42046700,CSCO,4
383,2012-01-23,19.850000381469727,20.06999969482422,19.559999465942383,19.829999923706055,14.421253204345703,50013100,CSCO,0
412,2012-01-24,19.75,19.860000610351562,19.559999465942383,19.81999969482422,14.413982391357422,30828500,CSCO,1
441,2012-01-25,19.799999237060547,19.8700008392334,19.479999542236328,19.829999923706055,14.421253204345703,37205000,CSCO,2
470,2012-01-26,19.969999313354492,19.989999771118164,19.709999084472656,19.829999923706055,14.421253204345703,36818500,CSCO,3
499,2012-01-27,19.579999923706055,19.690000534057617,19.360000610351562,19.559999465942383,14.224896430969238,43539600,CSCO,4
528,2012-01-30,19.399999618530273,19.6299991607666,19.270000457763672,19.559999465942383,14.224896430969238,31384800,CSCO,0
557,2012-01-31,19.690000534057617,19.729999542236328,19.440000534057617,19.649999618530273,14.290346145629883,40629600,CSCO,1
586,2012-02-01,19.84000015258789,19.950000762939453,19.700000762939453,19.799999237060547,14.399434089660645,57074800,CSCO,2
