,date,open,high,low,close,adjcp,volume,tic,day
8,2012-01-03,37.970001220703125,38.459999084472656,37.939998626708984,38.310001373291016,34.30061721801758,9704200,DIS,1
37,2012-01-04,38.189998626708984,38.9900016784668,38.119998931884766,38.849998474121094,34.78410339355469,9889900,DIS,2
66,2012-01-05,38.83000183105469,39.58000183105469,38.70000076293945,39.5,35.36607360839844,14327100,DIS,3
95,2012-01-06,39.54999923706055,40.150001525878906,39.45000076293945,39.90999984741211,35.73317337036133,14401600,DIS,4
124,2012-01-09,39.7400016784668,40.25,39.59000015258789,39.75,35.589908599853516,12145200,DIS,0
153,2012-01-10,39.47999954223633,39.90999984741211,39.15999984741211,39.630001068115234,35.48247146606445,14070900,DIS,1
182,2012-01-11,39.38999938964844,39.529998779296875,38.45000076293945,38.70000076293945,34.649803161621094,16257600,DIS,2
211,2012-01-12,38.619998931884766,38.86000061035156,38.40999984741211,38.72999954223633,34.67666244506836,10073400,DIS,3
240,2012-01-13,38.470001220703125,38.59000015258789,38.02000045776367,38.400001525878906,34.381202697753906,9877700,DIS,4
269,2012-01-17,38.689998626708984,38.97999954223633,38.40999984741211,38.47999954223633,34.45283126831055,9142800,DIS,1
298,2012-01-18,38.5099983215332,39.099998474121094,38.400001525878906,39.02000045776367,34.936309814453125,9594500,DIS,2
327,2012-01-19,39.0099983215332,39.470001220703125,39.0,39.439998626708984,35.312355041503906,7731000,DIS,3
356,2012-01-20,39.41999816894531,39.439998626708984,39.099998474121094,39.310001373291016,35.195960998535156,7879900,DIS,4
385,2012-01-23,39.380001068115234,39.5,38.959999084472656,39.25,35.142242431640625,7124600,DIS,0
414,2012-01-24,39.029998779296875,39.27000045776367,38.56999969482422,39.25,35.142242431640625,9407000,DIS,1
443,2012-01-25,39.119998931884766,39.68000030517578,38.959999084472656,39.560001373291016,35.419795989990234,10054000,DIS,2
472,2012-01-26,39.59000015258789,39.75,39.060001373291016,39.349998474121094,35.231773376464844,7162600,DIS,3
501,2012-01-27,39.27000045776367,39.5,38.97999954223633,39.25,35.142242431640625,9588400,DIS,4
530,2012-01-30,38.7400016784668,39.11000061035156,38.380001068115234,38.9900016784668,34.909454345703125,8683200,DIS,0
559,2012-01-31,39.08000183105469,39.310001373291016,38.65999984741211,38.900001525878906,34.82887649536133,14020100,DIS,1
588,2012-02-01,39.25,39.66999816894531,39.15999984741211,39.33000183105469,35.2138671875,8901000,DIS,2
617,2012-02-02,39.220001220703125,39.25,38.560001373291016,38.90999984741211,34.837825775146484,9076800,DIS,3
646,2012-02-03,39.43000030517578,40.0,39.36000061035156,40.0,35.81374740600586,11605300,DIS,4
675,2012-02-06,40.0,40.59000015258789,39.959999084472656,40.459999084472656,36.22560501098633,11536500,DIS,0
704,2012-02-07,40.72999954223633,41.150001525878906,40.20000076293945,40.97999954223633,36.69118118286133,20107300,DIS,1
733,2012-02-08,41.369998931884766,41.90999984741211,40.9900016784668,41.27000045776367,36.95083236694336,21690200,DIS,2
762,2012-02-09,40.75,41.63999938964844,40.54999923706055,41.529998779296875,37.18362808227539,13581000,DIS,3
791,2012-02-10,40.939998626708984,41.45000076293945,40.83000183105469,41.45000076293945,37.111995697021484,10116300,DIS,4
820,2012-02-13,41.619998931884766,41.91999816894531,41.59000015258789,41.790000915527344,37.416412353515625,9065800,DIS,0
849,2012-02-14,41.5,41.619998931884766,41.2599983215332,41.599998474121094,37.246299743652344,8210300,DIS,1
878,2012-02-15,41.47999954223633,41.75,41.130001068115234,41.25,36.932926177978516,7891200,DIS,2
907,2012-02-16,41.22999954223633,41.72999954223633,41.08000183105469,41.540000915527344,37.19257736206055,7464500,DIS,3
936,2012-02-17,41.709999084472656,41.86000061035156,41.54999923706055,41.75,37.3806037902832,7758700,DIS,4
965,2012-02-21,41.79999923706055,41.900001525878906,41.4900016784668,41.56999969482422,37.21943283081055,5675100,DIS,1
994,2012-02-22,41.54999923706055,41.709999084472656,41.150001525878906,41.27000045776367,36.95083236694336,6176200,DIS,2
1023,2012-02-23,41.279998779296875,41.66999816894531,41.09000015258789,41.47999954223633,37.138858795166016,6271000,DIS,3
1052,2012-02-24,41.439998626708984,41.58000183105469,41.22999954223633,41.310001373291016,36.98665237426758,6150600,DIS,4
1081,2012-02-27,41.70000076293945,41.95000076293945,41.29999923706055,41.63999938964844,37.282108306884766,9132300,DIS,0
1110,2012-02-28,41.75,41.970001220703125,41.54999923706055,41.93000030517578,37.54176330566406,6895200,DIS,1
1139,2012-02-29,41.869998931884766,42.369998931884766,41.849998474121094,41.9900016784668,37.595481872558594,14858700,DIS,2
1168,2012-03-01,42.130001068115234,42.540000915527344,42.130001068115234,42.38999938964844,37.95361328125,7995900,DIS,3
1197,2012-03-02,42.2599983215332,42.529998779296875,42.040000915527344,42.36000061035156,37.926761627197266,5070500,DIS,4
1226,2012-03-05,42.349998474121094,42.77000045776367,42.11000061035156,42.70000076293945,38.23117446899414,9288800,DIS,0
1255,2012-03-06,42.2400016784668,42.31999969482422,41.72999954223633,42.0,37.604427337646484,10434500,DIS,1
1284,2012-03-07,42.0,42.06999969482422,41.70000076293945,41.75,37.3806037902832,7793500,DIS,2
1313,2012-03-08,41.9900016784668,42.31999969482422,41.95000076293945,42.02000045776367,37.62234115600586,6163800,DIS,3
1342,2012-03-09,42.119998931884766,42.56999969482422,42.029998779296875,42.2400016784668,37.81931686401367,6896400,DIS,4
1371,2012-03-12,42.529998779296875,42.849998474121094,42.150001525878906,42.34000015258789,37.90885543823242,6834500,DIS,0
1400,2012-03-13,42.54999923706055,44.08000183105469,42.43000030517578,44.0099983215332,39.404075622558594,15051900,DIS,1
1429,2012-03-14,43.59000015258789,43.70000076293945,42.900001525878906,43.47999954223633,38.92954635620117,10991300,DIS,2
1458,2012-03-15,43.5,43.5,43.16999816894531,43.470001220703125,38.920597076416016,6123600,DIS,3
1487,2012-03-16,43.41999816894531,43.52000045776367,43.18000030517578,43.189998626708984,38.669898986816406,8952100,DIS,4
1516,2012-03-19,43.06999969482422,43.58000183105469,42.95000076293945,43.439998626708984,38.89373016357422,6382500,DIS,0
1545,2012-03-20,43.0,43.310001373291016,42.93000030517578,43.2400016784668,38.714664459228516,6853900,DIS,1
1574,2012-03-21,43.41999816894531,43.869998931884766,43.27000045776367,43.27000045776367,38.74152755737305,9582000,DIS,2
1603,2012-03-22,43.08000183105469,43.400001525878906,43.0099983215332,43.290000915527344,38.759429931640625,8560200,DIS,3
1632,2012-03-23,43.33000183105469,43.709999084472656,42.86000061035156,43.650001525878906,39.081748962402344,8519000,DIS,4
1661,2012-03-26,43.939998626708984,44.40999984741211,43.91999816894531,44.380001068115234,39.735355377197266,10850200,DIS,0
1690,2012-03-27,44.38999938964844,44.5,44.09000015258789,44.150001525878906,39.5294303894043,9343100,DIS,1
1719,2012-03-28,44.040000915527344,44.150001525878906,43.2599983215332,43.5099983215332,38.95640182495117,9444300,DIS,2
1748,2012-03-29,43.20000076293945,43.27000045776367,42.29999923706055,43.0099983215332,38.508731842041016,10402500,DIS,3
1777,2012-03-30,43.52000045776367,43.849998474121094,43.099998474121094,43.779998779296875,39.19814682006836,9096000,DIS,4
1806,2012-04-02,43.59000015258789,44.0,43.31999969482422,43.84000015258789,39.251869201660156,7653800,DIS,0
1835,2012-04-03,43.66999816894531,43.75,42.90999984741211,43.290000915527344,38.759429931640625,7996400,DIS,1
1864,2012-04-04,42.900001525878906,42.9900016784668,42.47999954223633,42.93000030517578,38.437103271484375,8560700,DIS,2
1893,2012-04-05,42.84000015258789,43.18000030517578,42.68000030517578,43.08000183105469,38.57141876220703,6340800,DIS,3
1922,2012-04-09,42.130001068115234,42.27000045776367,41.959999084472656,42.11000061035156,37.70293045043945,6813500,DIS,0
1951,2012-04-10,41.869998931884766,42.130001068115234,40.880001068115234,40.9900016784668,36.70014190673828,10682100,DIS,1
1980,2012-04-11,41.5099983215332,41.70000076293945,41.2400016784668,41.369998931884766,37.040367126464844,6358400,DIS,2
2009,2012-04-12,41.43000030517578,42.20000076293945,41.25,42.150001525878906,37.73873519897461,5538400,DIS,3
