,date,open,high,low,close,adjcp,volume,tic,day
11,2012-01-03,52.702266693115234,53.35055923461914,52.654598236083984,52.988277435302734,42.273101806640625,4836320,HON,1
40,2012-01-04,52.90247344970703,53.04547882080078,52.57832717895508,52.940608978271484,42.23508071899414,3839854,HON,2
69,2012-01-05,52.73086929321289,53.178951263427734,52.177913665771484,52.99781036376953,42.28071212768555,3015305,HON,3
98,2012-01-06,53.12174987792969,53.12174987792969,52.47345733642578,52.606929779052734,41.968868255615234,4017330,HON,4
127,2012-01-09,52.90247344970703,53.150352478027344,52.416255950927734,53.04547882080078,42.3187370300293,2717729,HON,0
156,2012-01-10,53.61750030517578,54.342063903808594,53.49356460571289,53.941646575927734,43.03369140625,5781808,HON,1
185,2012-01-11,53.63656997680664,54.01791763305664,53.44589614868164,53.82724380493164,42.94240951538086,3675595,HON,2
214,2012-01-12,54.11325454711914,54.656673431396484,53.83677673339844,54.5232048034668,43.49764633178711,3144846,HON,3
243,2012-01-13,54.103721618652344,54.179988861083984,53.560298919677734,54.056053161621094,43.12495803833008,2581266,HON,4
272,2012-01-17,54.656673431396484,55.009422302246094,54.38019943237305,54.49460220336914,43.47481918334961,3244492,HON,1
301,2012-01-18,54.485069274902344,55.533775329589844,54.38019943237305,55.4765739440918,44.25822067260742,4167954,HON,2
330,2012-01-19,55.514705657958984,55.82931900024414,55.200096130371094,55.772117614746094,44.49400329589844,4192184,HON,3
359,2012-01-20,55.705379486083984,55.705379486083984,54.132320404052734,54.704341888427734,43.64214324951172,6689326,HON,4
388,2012-01-23,54.771080017089844,55.676780700683594,54.63760757446289,54.93315124511719,43.82469177246094,3541439,HON,0
417,2012-01-24,54.513668060302734,54.990352630615234,54.33252716064453,54.942684173583984,43.83229446411133,2777412,HON,1
446,2012-01-25,54.63760757446289,55.60050964355469,53.865379333496094,55.40030288696289,44.19736099243164,3855273,HON,2
475,2012-01-26,56.058128356933594,56.16299819946289,54.818748474121094,55.13336181640625,43.984405517578125,4795412,HON,3
504,2012-01-27,54.45646667480469,55.97232437133789,54.17045593261719,55.55284118652344,44.319068908691406,6406435,HON,4
533,2012-01-30,55.247764587402344,55.562374114990234,54.818748474121094,55.467037200927734,44.2506103515625,3899013,HON,0
562,2012-01-31,55.6672477722168,55.83885192871094,54.92361831665039,55.33356857299805,44.14411926269531,3615387,HON,1
591,2012-02-01,55.90559005737305,56.57294845581055,55.90559005737305,56.19160079956055,44.82865524291992,3630492,HON,2
620,2012-02-02,56.19160079956055,56.46807861328125,55.81025314331055,56.27740478515625,44.8971061706543,3391235,HON,3
649,2012-02-03,56.84942626953125,57.9553337097168,56.725486755371094,57.90766525268555,46.19769287109375,5929285,HON,4
678,2012-02-06,57.25937271118164,57.69792556762695,57.202171325683594,57.49771499633789,45.87065505981445,4084775,HON,0
707,2012-02-07,57.18310546875,57.49771499633789,56.73501968383789,57.35470962524414,45.75655746459961,3025899,HON,1
736,2012-02-08,57.26890563964844,57.45004653930664,56.83035659790039,57.07823181152344,45.5359992980957,3410954,HON,2
765,2012-02-09,57.07823181152344,57.2879753112793,56.87802505493164,57.0973014831543,45.551212310791016,3342356,HON,3
794,2012-02-10,56.64921569824219,56.65875244140625,56.01999282836914,56.56341552734375,45.125274658203125,3835659,HON,4
823,2012-02-13,57.02103042602539,57.4691162109375,56.582481384277344,57.33564376831055,45.74135971069336,2867828,HON,0
852,2012-02-14,57.04963302612305,57.2879753112793,56.54434585571289,57.04963302612305,45.51317596435547,2310227,HON,1
881,2012-02-15,57.30704116821289,57.30704116821289,56.06766128540039,56.248802185058594,44.874290466308594,3258443,HON,2
910,2012-02-16,56.248802185058594,56.7922248840332,56.21066665649414,56.69688415527344,45.231773376464844,2359316,HON,3
939,2012-02-17,57.07823181152344,57.45004653930664,56.98289489746094,57.297508239746094,45.7109375,3324524,HON,4
968,2012-02-21,57.6597900390625,57.7646598815918,56.8970947265625,57.0973014831543,45.551212310791016,2342219,HON,1
997,2012-02-22,56.63968276977539,57.03056335449219,56.41087341308594,56.73501968383789,45.262184143066406,2652906,HON,2
1026,2012-02-23,56.229736328125,56.487144470214844,55.610042572021484,56.248802185058594,45.157325744628906,3827477,HON,3
1055,2012-02-24,56.248802185058594,56.8875617980957,56.11532974243164,56.50621032714844,45.363975524902344,2705352,HON,4
1084,2012-02-27,56.010459899902344,57.106834411621094,55.962791442871094,56.916160583496094,45.69308090209961,3691119,HON,0
1113,2012-02-28,56.93522644042969,57.32611083984375,56.75408935546875,56.963829040527344,45.73136520385742,3196767,HON,1
1142,2012-02-29,56.94476318359375,57.392845153808594,56.75408935546875,56.7922248840332,45.593589782714844,4762372,HON,2
1171,2012-03-01,56.582481384277344,57.3833122253418,56.534812927246094,57.31657409667969,46.01454162597656,4196694,HON,3
1200,2012-03-02,57.30704116821289,57.41191482543945,56.83988952636719,56.963829040527344,45.73136520385742,2865625,HON,4
1229,2012-03-05,57.011497497558594,57.12590026855469,56.26786804199219,56.344139099121094,45.23386001586914,3599758,HON,0
1258,2012-03-06,55.64817810058594,55.800716400146484,54.866416931152344,55.07615661621094,44.21591567993164,5226934,HON,1
1287,2012-03-07,54.961753845214844,55.25729751586914,54.63760757446289,55.04755783081055,44.19296646118164,6110747,HON,2
1316,2012-03-08,56.09626388549805,56.83035659790039,55.63864517211914,56.7159538269043,45.532352447509766,4328332,HON,3
1345,2012-03-09,57.011497497558594,57.36424255371094,56.60154724121094,56.992431640625,45.75432586669922,3414626,HON,4
1374,2012-03-12,57.02103042602539,57.12590026855469,56.38227462768555,56.49667739868164,45.356319427490234,3891670,HON,0
1403,2012-03-13,56.92569351196289,57.631187438964844,56.611080169677734,57.55491638183594,46.205894470214844,4664194,HON,1
1432,2012-03-14,57.583518981933594,58.1460075378418,57.50725173950195,57.69792556762695,46.32071304321289,3418611,HON,2
1461,2012-03-15,57.70745849609375,58.06973648071289,57.41191482543945,58.012535095214844,46.573272705078125,2820837,HON,3
1490,2012-03-16,57.9553337097168,57.99346923828125,57.41191482543945,57.55491638183594,46.205894470214844,5346930,HON,4
1519,2012-03-19,57.43098068237305,57.964866638183594,57.32611083984375,57.64072036743164,46.274776458740234,2387007,HON,0
1548,2012-03-20,57.2879753112793,57.2879753112793,56.56341552734375,56.7064208984375,45.52470779418945,3374243,HON,1
1577,2012-03-21,56.630149841308594,57.02103042602539,56.45854187011719,56.69688415527344,45.51706314086914,3967402,HON,2
1606,2012-03-22,56.25833511352539,57.03056335449219,55.65771484375,56.963829040527344,45.73136520385742,5576432,HON,3
1635,2012-03-23,57.059165954589844,57.42144775390625,56.57294845581055,57.35470962524414,46.045162200927734,4303053,HON,4
1664,2012-03-26,57.964866638183594,58.965904235839844,57.92673110961914,58.899169921875,47.28508758544922,5211096,HON,0
1693,2012-03-27,58.965904235839844,59.108909606933594,58.4320182800293,58.441551208496094,46.91770553588867,3071422,HON,1
1722,2012-03-28,58.3176155090332,58.441551208496094,57.42144775390625,57.917198181152344,46.496726989746094,2870031,HON,2
1751,2012-03-29,57.32611083984375,57.99346923828125,57.02103042602539,57.869529724121094,46.458473205566406,2861115,HON,3
1780,2012-03-30,58.37481689453125,58.536888122558594,58.00300216674805,58.203208923339844,46.726356506347656,2816012,HON,4
1809,2012-04-02,57.74559020996094,58.5273551940918,57.55491638183594,58.26994323730469,46.77993392944336,3156908,HON,0
1838,2012-04-03,58.06973648071289,58.46062088012695,57.55491638183594,57.80279541015625,46.40489196777344,2675458,HON,1
1867,2012-04-04,57.30704116821289,57.42144775390625,57.0019645690918,57.345176696777344,46.037513732910156,3038381,HON,2
1896,2012-04-05,57.04963302612305,57.21170425415039,56.7064208984375,56.7159538269043,45.532352447509766,3077191,HON,3
