,date,open,high,low,close,adjcp,volume,tic,day
12,2012-01-03,178.51815795898438,180.4110870361328,177.8202667236328,178.10707092285156,119.9476318359375,5905716,IBM,1
41,2012-01-04,177.4091796875,178.13575744628906,176.806884765625,177.3804931640625,119.45830535888672,4546648,IBM,2
70,2012-01-05,176.68260192871094,176.89292907714844,175.0478057861328,176.53919982910156,118.8917236328125,4668403,IBM,3
99,2012-01-06,176.28106689453125,176.3671112060547,174.29254150390625,174.51242065429688,117.52680206298828,5122367,IBM,4
128,2012-01-09,174.1873779296875,174.25430297851562,172.34225463867188,173.6042022705078,116.91511535644531,5440455,IBM,0
157,2012-01-10,175.17208862304688,175.64053344726562,173.23135375976562,173.33651733398438,116.73484802246094,5398406,IBM,1
186,2012-01-11,172.7820281982422,174.7705535888672,172.5621337890625,174.30210876464844,117.38513946533203,4299897,IBM,2
215,2012-01-12,173.86233520507812,173.91014099121094,170.53536987304688,172.6099395751953,116.24552917480469,7197526,IBM,3
244,2012-01-13,171.58700561523438,171.71128845214844,169.55067443847656,171.28106689453125,115.3505859375,5522043,IBM,4
273,2012-01-17,172.4282989501953,173.9961700439453,171.4340362548828,172.08413696289062,115.8914566040039,6279556,IBM,1
302,2012-01-18,171.92160034179688,173.61376953125,171.6061248779297,173.10707092285156,116.5802993774414,4812228,IBM,2
331,2012-01-19,173.79541015625,174.34034729003906,172.41873168945312,172.58126831054688,116.22631072998047,8961291,IBM,3
360,2012-01-20,177.6003875732422,180.65965270996094,176.625244140625,180.2294464111328,121.37696075439453,13440786,IBM,4
389,2012-01-23,179.64627075195312,182.14149475097656,179.4168243408203,181.625244140625,122.31698608398438,6016278,IBM,0
418,2012-01-24,180.33460998535156,183.8432159423828,180.2294464111328,183.48948669433594,123.57246398925781,5591602,IBM,1
447,2012-01-25,182.91586303710938,183.78585815429688,181.27151489257812,183.29827880859375,123.44367218017578,4560246,IBM,2
476,2012-01-26,183.3556365966797,184.31166076660156,182.09368896484375,182.58126831054688,122.96080780029297,4188916,IBM,3
505,2012-01-27,181.65391540527344,183.33651733398438,181.46270751953125,182.08413696289062,122.6259765625,3514978,IBM,4
534,2012-01-30,181.06118774414062,184.25430297851562,179.94264221191406,184.034423828125,123.939453125,4559514,IBM,0
563,2012-01-31,184.5984649658203,184.6080322265625,182.6003875732422,184.13002014160156,124.0038070678711,5048833,IBM,1
592,2012-02-01,184.71319580078125,186.24282836914062,183.94837951660156,184.14913940429688,124.01670837402344,5322885,IBM,2
621,2012-02-02,184.24473571777344,184.82791137695312,182.91586303710938,183.10707092285156,123.31497192382812,4087036,IBM,3
650,2012-02-03,184.4455108642578,185.5927276611328,184.07266235351562,185.12428283691406,124.67342376708984,4729698,IBM,4
679,2012-02-06,184.01528930664062,185.23899841308594,183.55641174316406,184.34034729003906,124.14547729492188,3807231,IBM,0
708,2012-02-07,183.9866180419922,185.602294921875,183.52772521972656,184.84703063964844,124.48672485351562,3590918,IBM,1
737,2012-02-08,184.30210876464844,185.06692504882812,183.29827880859375,184.46463012695312,124.71294403076172,3978775,IBM,2
766,2012-02-09,184.54110717773438,185.90821838378906,184.08221435546875,184.63670349121094,124.82927703857422,4054714,IBM,3
795,2012-02-10,183.32696533203125,183.96749877929688,182.86807250976562,183.9579315185547,124.37034606933594,3547091,IBM,4
824,2012-02-13,184.8087921142578,185.17208862304688,183.30784606933594,184.14913940429688,124.49967956542969,2571905,IBM,0
853,2012-02-14,183.32696533203125,184.13002014160156,182.4378662109375,183.7667236328125,124.2410888671875,3554413,IBM,1
882,2012-02-15,183.85276794433594,184.93307495117188,182.8489532470703,183.79541015625,124.260498046875,4205861,IBM,2
911,2012-02-16,184.1395721435547,184.75143432617188,183.55641174316406,184.53155517578125,124.7581787109375,3687673,IBM,3
940,2012-02-17,185.1912078857422,185.33460998535156,183.8432159423828,184.91395568847656,125.01666259765625,3918839,IBM,4
969,2012-02-21,185.2103271484375,185.69789123535156,183.9961700439453,184.88528442382812,124.99732208251953,3445106,IBM,1
998,2012-02-22,184.54110717773438,186.1759033203125,184.27342224121094,185.3441619873047,125.30757141113281,3426487,IBM,2
1027,2012-02-23,185.3441619873047,190.46844482421875,184.78012084960938,188.91969299316406,127.72492980957031,8402204,IBM,3
1056,2012-02-24,189.6558380126953,189.82791137695312,187.9636688232422,189.06309509277344,127.8218765258789,3507447,IBM,4
