,date,open,high,low,close,adjcp,volume,tic,day
14,2012-01-03,65.58999633789062,66.0,65.25,65.87999725341797,49.02983474731445,16116200,JNJ,1
43,2012-01-04,65.75,65.87999725341797,65.11000061035156,65.4800033569336,48.732147216796875,9243100,JNJ,2
72,2012-01-05,65.31999969482422,65.5999984741211,64.83000183105469,65.4000015258789,48.67261505126953,11886900,JNJ,3
101,2012-01-06,65.44000244140625,65.45999908447266,64.61000061035156,64.83000183105469,48.2484016418457,15359900,JNJ,4
130,2012-01-09,64.95999908447266,65.08999633789062,64.41000366210938,64.93000030517578,48.32282257080078,7934600,JNJ,0
159,2012-01-10,65.11000061035156,65.4000015258789,65.0,65.19999694824219,48.52375793457031,8476600,JNJ,1
188,2012-01-11,65.11000061035156,65.54000091552734,64.83999633789062,65.12999725341797,48.4716682434082,6784600,JNJ,2
217,2012-01-12,65.27999877929688,65.41000366210938,64.93000030517578,65.2300033569336,48.54608154296875,7402900,JNJ,3
246,2012-01-13,64.97000122070312,65.27999877929688,64.36000061035156,65.26000213623047,48.56842041015625,8978800,JNJ,4
275,2012-01-17,65.54000091552734,65.69000244140625,64.5,65.12000274658203,48.464229583740234,8359900,JNJ,1
304,2012-01-18,65.26000213623047,65.37000274658203,65.0,65.27999877929688,48.58330154418945,8095600,JNJ,2
333,2012-01-19,65.16000366210938,65.25,64.79000091552734,65.19000244140625,48.516326904296875,11699800,JNJ,3
362,2012-01-20,65.27999877929688,65.55000305175781,64.54000091552734,65.2699966430664,48.57585525512695,14715500,JNJ,4
391,2012-01-23,65.2300033569336,65.33000183105469,64.87999725341797,65.0,48.374916076660156,10125000,JNJ,0
420,2012-01-24,64.33999633789062,65.44999694824219,64.33999633789062,65.0,48.374916076660156,12367900,JNJ,1
449,2012-01-25,64.83000183105469,65.30000305175781,64.76000213623047,65.22000122070312,48.53864669799805,10531400,JNJ,2
478,2012-01-26,65.52999877929688,65.87999725341797,65.22000122070312,65.69999694824219,48.8958625793457,12546100,JNJ,3
507,2012-01-27,65.62000274658203,65.87000274658203,65.45999908447266,65.55999755859375,48.79167556762695,10466300,JNJ,4
536,2012-01-30,65.33000183105469,65.70999908447266,65.12999725341797,65.70999908447266,48.90332794189453,7482100,JNJ,0
565,2012-01-31,65.86000061035156,65.94999694824219,65.55999755859375,65.91000366210938,49.052162170410156,13562900,JNJ,1
594,2012-02-01,65.97000122070312,66.31999969482422,65.6500015258789,65.69000244140625,48.888423919677734,12275900,JNJ,2
623,2012-02-02,65.94000244140625,65.97000122070312,65.3499984741211,65.58999633789062,48.814022064208984,8282400,JNJ,3
652,2012-02-03,65.9000015258789,66.0199966430664,65.52999877929688,65.63999938964844,48.85121154785156,9036200,JNJ,4
681,2012-02-06,65.45999908447266,65.58000183105469,65.05000305175781,65.19000244140625,48.516326904296875,9535700,JNJ,0
710,2012-02-07,65.16000366210938,65.38999938964844,65.0199966430664,65.26000213623047,48.56842041015625,9248100,JNJ,1
739,2012-02-08,65.19999694824219,65.3499984741211,65.08999633789062,65.23999786376953,48.553524017333984,6889400,JNJ,2
768,2012-02-09,65.16000366210938,65.3499984741211,64.81999969482422,64.88999938964844,48.29304504394531,10936200,JNJ,3
797,2012-02-10,64.70999908447266,64.7699966430664,64.25,64.5999984741211,48.077232360839844,13954200,JNJ,4
826,2012-02-13,64.9000015258789,64.94999694824219,64.5999984741211,64.68000030517578,48.13676834106445,9662500,JNJ,0
855,2012-02-14,64.75,64.86000061035156,64.33000183105469,64.61000061035156,48.08467102050781,8978500,JNJ,1
884,2012-02-15,64.51000213623047,64.94999694824219,64.47000122070312,64.6500015258789,48.11444091796875,9023400,JNJ,2
913,2012-02-16,64.5999984741211,65.16000366210938,64.44000244140625,64.91999816894531,48.31538009643555,8194500,JNJ,3
942,2012-02-17,65.22000122070312,65.27999877929688,64.80999755859375,64.98999786376953,48.36745834350586,9057500,JNJ,4
971,2012-02-21,65.2300033569336,65.23999786376953,64.75,65.04000091552734,48.40468215942383,8081700,JNJ,1
1000,2012-02-22,65.08000183105469,65.33999633789062,64.87000274658203,65.0,48.374916076660156,8150600,JNJ,2
1029,2012-02-23,65.19000244140625,66.05000305175781,64.9000015258789,65.0999984741211,48.44933319091797,8991500,JNJ,3
1058,2012-02-24,64.79000091552734,64.79000091552734,64.19000244140625,64.45999908447266,48.39677047729492,10478200,JNJ,4
1087,2012-02-27,64.26000213623047,64.63999938964844,64.0199966430664,64.44999694824219,48.3892707824707,8523000,JNJ,0
1116,2012-02-28,64.5999984741211,65.41999816894531,64.5,65.18000030517578,48.9373664855957,11581400,JNJ,1
1145,2012-02-29,65.22000122070312,65.26000213623047,64.70999908447266,65.08000183105469,48.86228561401367,11489100,JNJ,2
1174,2012-03-01,65.11000061035156,65.26000213623047,64.63999938964844,64.83000183105469,48.67457962036133,8813800,JNJ,3
1203,2012-03-02,64.73999786376953,64.87000274658203,64.56999969482422,64.7699966430664,48.62952423095703,6063900,JNJ,4
1232,2012-03-05,64.69000244140625,64.95999908447266,64.54000091552734,64.91000366210938,48.73464584350586,7601000,JNJ,0
1261,2012-03-06,64.45999908447266,64.7300033569336,64.19000244140625,64.3499984741211,48.31419372558594,9511100,JNJ,1
1290,2012-03-07,64.2699966430664,64.45999908447266,64.12000274658203,64.30000305175781,48.27665328979492,8591800,JNJ,2
1319,2012-03-08,64.94999694824219,65.08000183105469,64.73999786376953,64.8499984741211,48.68959045410156,11311100,JNJ,3
1348,2012-03-09,64.83000183105469,65.0,64.58999633789062,64.73999786376953,48.60700225830078,8410600,JNJ,4
1377,2012-03-12,64.55000305175781,65.1500015258789,64.54000091552734,65.0999984741211,48.87729263305664,7284700,JNJ,0
1406,2012-03-13,65.41999816894531,65.44000244140625,65.02999877929688,65.33000183105469,49.049983978271484,9884100,JNJ,1
1435,2012-03-14,65.20999908447266,65.37999725341797,65.0199966430664,65.08000183105469,48.86228561401367,9612200,JNJ,2
1464,2012-03-15,64.93000030517578,65.37999725341797,64.8499984741211,65.06999969482422,48.854774475097656,11372900,JNJ,3
1493,2012-03-16,65.19999694824219,65.45999908447266,64.80999755859375,65.12000274658203,48.89231872558594,17707000,JNJ,4
1522,2012-03-19,64.94999694824219,65.2699966430664,64.9000015258789,65.20999908447266,48.95989227294922,7321800,JNJ,0
