,date,open,high,low,close,adjcp,volume,tic,day
15,2012-01-03,34.060001373291016,35.189998626708984,34.0099983215332,34.97999954223633,25.96758460998535,44102800,JPM,1
44,2012-01-04,34.439998626708984,35.150001525878906,34.33000183105469,34.95000076293945,26.132076263427734,36571200,JPM,2
73,2012-01-05,34.709999084472656,35.91999816894531,34.400001525878906,35.68000030517578,26.677894592285156,38381400,JPM,3
102,2012-01-06,35.689998626708984,35.77000045776367,35.13999938964844,35.36000061035156,26.438634872436523,33160600,JPM,4
131,2012-01-09,35.439998626708984,35.68000030517578,34.9900016784668,35.29999923706055,26.393770217895508,23001800,JPM,0
160,2012-01-10,36.06999969482422,36.349998474121094,35.7599983215332,36.04999923706055,26.954544067382812,35972800,JPM,1
189,2012-01-11,35.79999923706055,36.7400016784668,35.65999984741211,36.65999984741211,27.410642623901367,29852900,JPM,2
218,2012-01-12,36.81999969482422,37.04999923706055,36.16999816894531,36.849998474121094,27.552711486816406,39420700,JPM,3
247,2012-01-13,35.2599983215332,35.91999816894531,35.130001068115234,35.91999816894531,26.85734748840332,61571500,JPM,4
276,2012-01-17,34.849998474121094,35.68000030517578,34.5,34.90999984741211,26.1021671295166,55115100,JPM,1
305,2012-01-18,34.540000915527344,36.68000030517578,34.529998779296875,36.540000915527344,27.3209228515625,55502100,JPM,2
334,2012-01-19,36.84000015258789,37.150001525878906,36.709999084472656,36.93000030517578,27.612524032592773,37000400,JPM,3
363,2012-01-20,36.779998779296875,37.400001525878906,36.619998931884766,37.36000061035156,27.93402862548828,34716500,JPM,4
392,2012-01-23,37.310001373291016,37.939998626708984,37.27000045776367,37.65999984741211,28.158344268798828,27499200,JPM,0
421,2012-01-24,37.18000030517578,37.88999938964844,36.79999923706055,37.65999984741211,28.158344268798828,25403800,JPM,1
450,2012-01-25,37.36000061035156,37.81999969482422,37.119998931884766,37.599998474121094,28.113479614257812,29860700,JPM,2
479,2012-01-26,37.880001068115234,38.099998474121094,37.25,37.4900016784668,28.031240463256836,33284600,JPM,3
508,2012-01-27,37.22999954223633,37.65999984741211,37.150001525878906,37.209999084472656,27.821876525878906,27674600,JPM,4
537,2012-01-30,36.65999984741211,37.16999816894531,36.36000061035156,37.0099983215332,27.672334671020508,24423600,JPM,0
566,2012-01-31,37.529998779296875,37.540000915527344,36.93000030517578,37.29999923706055,27.88917350769043,29649500,JPM,1
595,2012-02-01,37.88999938964844,38.029998779296875,37.5,37.599998474121094,28.113479614257812,41957800,JPM,2
624,2012-02-02,37.689998626708984,38.15999984741211,37.41999816894531,37.54999923706055,28.076091766357422,26784200,JPM,3
653,2012-02-03,38.27000045776367,38.5,38.04999923706055,38.279998779296875,28.621919631958008,41074400,JPM,4
682,2012-02-06,38.060001373291016,38.31999969482422,37.810001373291016,38.13999938964844,28.517244338989258,23106200,JPM,0
711,2012-02-07,37.86000061035156,38.119998931884766,37.70000076293945,37.869998931884766,28.315370559692383,21091900,JPM,1
740,2012-02-08,38.04999923706055,38.349998474121094,37.970001220703125,38.29999923706055,28.636871337890625,23258700,JPM,2
769,2012-02-09,38.599998474121094,38.68000030517578,37.84000015258789,37.86000061035156,28.307886123657227,28608400,JPM,3
798,2012-02-10,37.220001220703125,37.77000045776367,37.11000061035156,37.61000061035156,28.12095069885254,22618800,JPM,4
827,2012-02-13,38.08000183105469,38.34000015258789,37.779998779296875,38.29999923706055,28.636871337890625,24828000,JPM,0
856,2012-02-14,38.22999954223633,38.2599983215332,37.439998626708984,37.91999816894531,28.352739334106445,27031900,JPM,1
885,2012-02-15,38.08000183105469,38.400001525878906,37.310001373291016,37.400001525878906,27.963947296142578,26534900,JPM,2
914,2012-02-16,37.150001525878906,38.119998931884766,37.04999923706055,38.0,28.412565231323242,22139600,JPM,3
943,2012-02-17,38.599998474121094,38.63999938964844,38.22999954223633,38.470001220703125,28.76398468017578,28009300,JPM,4
972,2012-02-21,38.650001525878906,38.970001220703125,38.40999984741211,38.459999084472656,28.756502151489258,22804200,JPM,1
1001,2012-02-22,38.29999923706055,38.38999938964844,37.900001525878906,38.06999969482422,28.464902877807617,23416900,JPM,2
1030,2012-02-23,38.060001373291016,38.52000045776367,37.75,38.4900016784668,28.778928756713867,31361400,JPM,3
1059,2012-02-24,38.65999984741211,38.68000030517578,38.189998626708984,38.279998779296875,28.621919631958008,17586400,JPM,4
