,date,open,high,low,close,adjcp,volume,tic,day
18,2012-01-03,83.76000213623047,84.44000244140625,83.36000061035156,83.48999786376953,62.14558029174805,3380100,MMM,1
47,2012-01-04,83.12999725341797,84.26000213623047,83.11000061035156,84.18000030517578,62.659175872802734,3007400,MMM,2
76,2012-01-05,83.52999877929688,83.87000274658203,82.69999694824219,83.80000305175781,62.37632751464844,3116400,MMM,3
105,2012-01-06,83.77999877929688,84.23999786376953,83.31999969482422,83.37000274658203,62.056251525878906,2839200,MMM,4
134,2012-01-09,83.58000183105469,84.05999755859375,83.26000213623047,83.87000274658203,62.42845153808594,2796600,MMM,0
163,2012-01-10,84.58999633789062,85.19000244140625,84.04000091552734,84.30000305175781,62.74850082397461,3438400,MMM,1
192,2012-01-11,83.23999786376953,83.88999938964844,83.08000183105469,83.7699966430664,62.35398864746094,4465300,MMM,2
221,2012-01-12,84.37000274658203,84.63999938964844,83.76000213623047,84.27999877929688,62.733604431152344,3649900,MMM,3
250,2012-01-13,83.75,84.12000274658203,83.06999969482422,83.5999984741211,62.227455139160156,3092900,MMM,4
279,2012-01-17,84.8499984741211,85.36000061035156,84.12999725341797,84.2300033569336,62.69639205932617,2694900,MMM,1
308,2012-01-18,84.13999938964844,85.12000274658203,84.0199966430664,85.06999969482422,63.3216438293457,3721100,MMM,2
337,2012-01-19,85.0999984741211,86.2300033569336,84.91999816894531,85.80000305175781,63.86501693725586,3413700,MMM,3
366,2012-01-20,85.44999694824219,85.69999694824219,84.95999908447266,85.6500015258789,63.75336837768555,3522600,MMM,4
395,2012-01-23,85.69999694824219,86.05999755859375,85.30999755859375,85.61000061035156,63.72360610961914,3494800,MMM,0
424,2012-01-24,85.26000213623047,85.94000244140625,84.62999725341797,85.93000030517578,63.96181106567383,3895600,MMM,1
453,2012-01-25,85.30000305175781,86.66000366210938,85.0,86.4800033569336,64.37114715576172,4412000,MMM,2
482,2012-01-26,87.51000213623047,87.98999786376953,87.0,87.58000183105469,65.18997955322266,4898900,MMM,3
511,2012-01-27,87.1500015258789,87.80000305175781,86.66999816894531,87.45999908447266,65.10061645507812,3747200,MMM,4
540,2012-01-30,86.5,87.58999633789062,86.41999816894531,87.33999633789062,65.01129150390625,3148400,MMM,0
569,2012-01-31,87.87999725341797,87.87999725341797,85.79000091552734,86.70999908447266,64.54236602783203,3552100,MMM,1
598,2012-02-01,87.5199966430664,87.9800033569336,87.2300033569336,87.3499984741211,65.01875305175781,3005500,MMM,2
627,2012-02-02,87.25,87.7699966430664,87.05999755859375,87.43000030517578,65.07831573486328,2288000,MMM,3
656,2012-02-03,88.08000183105469,88.29000091552734,87.47000122070312,87.7300033569336,65.30160522460938,3195500,MMM,4
685,2012-02-06,87.1500015258789,87.94000244140625,87.1500015258789,87.55999755859375,65.17508697509766,2189300,MMM,0
714,2012-02-07,87.31999969482422,88.22000122070312,86.69000244140625,87.88999938964844,65.42070770263672,2959100,MMM,1
743,2012-02-08,88.12000274658203,88.29000091552734,87.68000030517578,87.97000122070312,65.48025512695312,2522800,MMM,2
772,2012-02-09,87.54000091552734,88.18000030517578,87.45999908447266,88.0199966430664,65.51747131347656,3031600,MMM,3
801,2012-02-10,87.19999694824219,87.55999755859375,86.75,87.13999938964844,64.86244201660156,3085700,MMM,4
830,2012-02-13,87.56999969482422,88.08999633789062,87.16000366210938,88.02999877929688,65.52493286132812,2530600,MMM,0
