,date,open,high,low,close,adjcp,volume,tic,day
19,2012-01-03,36.14503860473633,36.79389190673828,36.078243255615234,36.54580307006836,25.91876220703125,18100427,MRK,1
48,2012-01-04,36.49809265136719,36.58396911621094,36.16412353515625,36.58396911621094,25.945817947387695,14374682,MRK,2
77,2012-01-05,36.393131256103516,37.213741302490234,36.29771041870117,36.96564865112305,26.216516494750977,21995005,MRK,3
106,2012-01-06,36.975189208984375,36.975189208984375,36.66984558105469,36.70801544189453,26.033798217773438,17530630,MRK,4
135,2012-01-09,36.58396911621094,36.70801544189453,36.154579162597656,36.63167953491211,25.979663848876953,14574431,MRK,0
164,2012-01-10,36.975189208984375,37.02289962768555,36.64122009277344,36.7557258605957,26.06764030456543,11911778,MRK,1
193,2012-01-11,36.66030502319336,36.7557258605957,36.488548278808594,36.65076446533203,25.993192672729492,12519198,MRK,2
222,2012-01-12,36.85114669799805,36.90839767456055,36.66030502319336,36.84160232543945,26.128551483154297,10407898,MRK,3
251,2012-01-13,36.68893051147461,36.73664093017578,36.27862548828125,36.564884185791016,25.932289123535156,10141915,MRK,4
280,2012-01-17,36.76526641845703,37.10877990722656,36.61259460449219,37.04198455810547,26.270660400390625,17349326,MRK,1
309,2012-01-18,36.8797721862793,37.16603088378906,36.8702278137207,37.08969497680664,26.304494857788086,15416709,MRK,2
338,2012-01-19,37.11832046508789,37.624046325683594,36.95610809326172,37.461830139160156,26.56841468811035,17341046,MRK,3
367,2012-01-20,37.51908493041992,37.595420837402344,37.13740539550781,37.404579162597656,26.527814865112305,16069927,MRK,4
396,2012-01-23,37.17557144165039,37.30915832519531,36.90839767456055,36.9942741394043,26.23681640625,14147895,MRK,0
425,2012-01-24,37.185115814208984,37.41412353515625,36.8797721862793,37.00381851196289,26.243595123291016,13775646,MRK,1
454,2012-01-25,36.803436279296875,37.01335906982422,36.507633209228516,36.90839767456055,26.175918579101562,15170010,MRK,2
483,2012-01-26,37.06106948852539,37.16603088378906,36.774810791015625,37.00381851196289,26.243595123291016,12983462,MRK,3
512,2012-01-27,36.95610809326172,37.02289962768555,36.46946716308594,36.7557258605957,26.06764030456543,12702389,MRK,4
541,2012-01-30,36.622135162353516,37.11832046508789,36.51717758178711,37.10877990722656,26.318031311035156,13324586,MRK,0
570,2012-01-31,37.185115814208984,37.20419692993164,36.44084167480469,36.51717758178711,25.898454666137695,17268525,MRK,1
599,2012-02-01,36.78435134887695,37.22328186035156,36.564884185791016,36.860687255859375,26.142080307006836,15276801,MRK,2
628,2012-02-02,37.156490325927734,37.185115814208984,36.25954055786133,36.67938995361328,26.013504028320312,21778174,MRK,3
657,2012-02-03,36.73664093017578,36.82251739501953,36.33587646484375,36.61259460449219,25.966129302978516,15730690,MRK,4
686,2012-02-06,36.459922790527344,36.64122009277344,36.38358688354492,36.64122009277344,25.986419677734375,11561850,MRK,0
715,2012-02-07,36.51717758178711,37.00381851196289,36.49809265136719,36.860687255859375,26.142080307006836,13044875,MRK,1
744,2012-02-08,36.78435134887695,36.832061767578125,36.46946716308594,36.66030502319336,25.999969482421875,11877194,MRK,2
773,2012-02-09,36.63167953491211,36.7557258605957,36.393131256103516,36.402671813964844,25.81724739074707,10058390,MRK,3
802,2012-02-10,36.20228958129883,36.26908493041992,36.049617767333984,36.17366409301758,25.65483283996582,11026113,MRK,4
831,2012-02-13,36.35496139526367,36.488548278808594,36.24045944213867,36.364505767822266,25.790178298950195,12179437,MRK,0
860,2012-02-14,36.364505767822266,36.488548278808594,36.211830139160156,36.459922790527344,25.85785675048828,11704378,MRK,1
889,2012-02-15,36.507633209228516,36.52671813964844,36.154579162597656,36.27862548828125,25.729270935058594,12769670,MRK,2
918,2012-02-16,36.33587646484375,36.402671813964844,36.068702697753906,36.393131256103516,25.81047821044922,10933574,MRK,3
947,2012-02-17,36.85114669799805,37.09923553466797,36.564884185791016,36.79389190673828,26.094703674316406,18826586,MRK,4
976,2012-02-21,36.70801544189453,36.860687255859375,36.33587646484375,36.38358688354492,25.803709030151367,11373106,MRK,1
1005,2012-02-22,36.316795349121094,36.479007720947266,36.16412353515625,36.46946716308594,25.864627838134766,10304984,MRK,2
1034,2012-02-23,36.35496139526367,36.7557258605957,36.35496139526367,36.74618148803711,26.060869216918945,10823954,MRK,3
1063,2012-02-24,36.72710037231445,36.73664093017578,36.393131256103516,36.450382232666016,25.85108757019043,8896996,MRK,4
1092,2012-02-27,36.20228958129883,36.507633209228516,36.097328186035156,36.402671813964844,25.81724739074707,17304052,MRK,0
1121,2012-02-28,36.402671813964844,36.72710037231445,36.25954055786133,36.622135162353516,25.972900390625,9916071,MRK,1
1150,2012-02-29,36.70801544189453,36.72710037231445,36.374046325683594,36.421756744384766,25.830781936645508,15971520,MRK,2
1179,2012-03-01,36.402671813964844,36.41221237182617,35.935115814208984,36.05915832519531,25.573633193969727,18920068,MRK,3
1208,2012-03-02,35.89694595336914,36.345420837402344,35.83969497680664,36.1927490234375,25.668367385864258,13676819,MRK,4
