,date,open,high,low,close,adjcp,volume,tic,day
20,2012-01-03,26.549999237060547,26.959999084472656,26.389999389648438,26.770000457763672,21.527198791503906,64731500,MSFT,1
49,2012-01-04,26.81999969482422,27.469999313354492,26.780000686645508,27.399999618530273,22.033811569213867,80516100,MSFT,2
78,2012-01-05,27.3799991607666,27.729999542236328,27.290000915527344,27.68000030517578,22.258981704711914,56081400,MSFT,3
107,2012-01-06,27.530000686645508,28.190000534057617,27.530000686645508,28.110000610351562,22.604761123657227,99455500,MSFT,4
136,2012-01-09,28.049999237060547,28.100000381469727,27.719999313354492,27.739999771118164,22.307222366333008,59706800,MSFT,0
165,2012-01-10,27.93000030517578,28.149999618530273,27.75,27.84000015258789,22.387643814086914,60014400,MSFT,1
194,2012-01-11,27.43000030517578,27.979999542236328,27.3700008392334,27.719999313354492,22.291139602661133,65582400,MSFT,2
223,2012-01-12,27.8700008392334,28.020000457763672,27.649999618530273,28.0,22.516305923461914,49370800,MSFT,3
252,2012-01-13,27.93000030517578,28.25,27.790000915527344,28.25,22.717350006103516,60196100,MSFT,4
281,2012-01-17,28.399999618530273,28.649999618530273,28.170000076293945,28.260000228881836,22.725385665893555,72395300,MSFT,1
310,2012-01-18,28.309999465942383,28.399999618530273,27.969999313354492,28.229999542236328,22.701257705688477,64860600,MSFT,2
339,2012-01-19,28.15999984741211,28.440000534057617,28.030000686645508,28.1200008392334,22.612802505493164,74053500,MSFT,3
368,2012-01-20,28.81999969482422,29.739999771118164,28.75,29.709999084472656,23.891408920288086,165902900,MSFT,4
397,2012-01-23,29.549999237060547,29.950000762939453,29.350000381469727,29.729999542236328,23.90749168395996,76078100,MSFT,0
426,2012-01-24,29.469999313354492,29.56999969482422,29.18000030517578,29.34000015258789,23.59386444091797,51703300,MSFT,1
455,2012-01-25,29.06999969482422,29.649999618530273,29.06999969482422,29.559999465942383,23.770780563354492,59231700,MSFT,2
484,2012-01-26,29.610000610351562,29.700000762939453,29.399999618530273,29.5,23.722537994384766,49102800,MSFT,3
513,2012-01-27,29.450000762939453,29.530000686645508,29.170000076293945,29.229999542236328,23.505413055419922,44187700,MSFT,4
542,2012-01-30,28.969999313354492,29.6200008392334,28.829999923706055,29.610000610351562,23.81099510192871,51114800,MSFT,0
571,2012-01-31,29.65999984741211,29.700000762939453,29.229999542236328,29.530000686645508,23.74666404724121,50572400,MSFT,1
600,2012-02-01,29.790000915527344,30.049999237060547,29.760000228881836,29.889999389648438,24.036149978637695,67409900,MSFT,2
629,2012-02-02,29.899999618530273,30.170000076293945,29.709999084472656,29.950000762939453,24.08440399169922,52223300,MSFT,3
658,2012-02-03,30.139999389648438,30.399999618530273,30.09000015258789,30.239999771118164,24.317609786987305,41838500,MSFT,4
687,2012-02-06,30.040000915527344,30.219999313354492,29.969999313354492,30.200000762939453,24.285446166992188,28039700,MSFT,0
716,2012-02-07,30.149999618530273,30.489999771118164,30.049999237060547,30.350000381469727,24.406064987182617,39242400,MSFT,1
745,2012-02-08,30.260000228881836,30.670000076293945,30.219999313354492,30.65999984741211,24.655353546142578,49659100,MSFT,2
774,2012-02-09,30.68000030517578,30.799999237060547,30.479999542236328,30.770000457763672,24.743804931640625,50481600,MSFT,3
803,2012-02-10,30.639999389648438,30.799999237060547,30.360000610351562,30.5,24.526687622070312,44605300,MSFT,4
832,2012-02-13,30.6299991607666,30.770000457763672,30.43000030517578,30.579999923706055,24.59102439880371,33319800,MSFT,0
861,2012-02-14,30.329999923706055,30.459999084472656,29.850000381469727,30.25,24.485790252685547,59644000,MSFT,1
890,2012-02-15,30.329999923706055,30.389999389648438,30.030000686645508,30.049999237060547,24.323902130126953,43311300,MSFT,2
919,2012-02-16,30.309999465942383,31.549999237060547,30.299999237060547,31.290000915527344,25.327619552612305,94705100,MSFT,3
948,2012-02-17,31.200000762939453,31.31999969482422,30.950000762939453,31.25,25.295244216918945,70036500,MSFT,4
977,2012-02-21,31.18000030517578,31.610000610351562,31.149999618530273,31.440000534057617,25.44904327392578,50829900,MSFT,1
1006,2012-02-22,31.450000762939453,31.68000030517578,31.18000030517578,31.270000457763672,25.31142807006836,49253200,MSFT,2
1035,2012-02-23,31.200000762939453,31.59000015258789,31.0,31.3700008392334,25.392377853393555,35034700,MSFT,3
1064,2012-02-24,31.479999542236328,31.5,31.239999771118164,31.479999542236328,25.481416702270508,35575400,MSFT,4
1093,2012-02-27,31.239999771118164,31.5,31.100000381469727,31.350000381469727,25.37618064880371,34568400,MSFT,0
1122,2012-02-28,31.40999984741211,31.93000030517578,31.3799991607666,31.8700008392334,25.79709815979004,45230600,MSFT,1
1151,2012-02-29,31.889999389648438,32.0,31.610000610351562,31.739999771118164,25.691869735717773,59323600,MSFT,2
1180,2012-03-01,31.93000030517578,32.38999938964844,31.850000381469727,32.290000915527344,26.137067794799805,77344100,MSFT,3
1209,2012-03-02,32.310001373291016,32.439998626708984,32.0,32.08000183105469,25.967084884643555,47314200,MSFT,4
1238,2012-03-05,32.0099983215332,32.04999923706055,31.6200008392334,31.799999237060547,25.74043846130371,45240000,MSFT,0
