,date,open,high,low,close,adjcp,volume,tic,day
23,2012-01-03,60.11000061035156,60.31999969482422,58.97999954223633,58.9900016784668,45.97490692138672,3522500,TRV,1
52,2012-01-04,58.84000015258789,59.06999969482422,58.13999938964844,58.75,45.78785705566406,3934500,TRV,2
81,2012-01-05,58.36000061035156,59.36000061035156,58.08000183105469,59.33000183105469,46.23989486694336,4748600,TRV,3
110,2012-01-06,59.56999969482422,59.72999954223633,59.11000061035156,59.349998474121094,46.25546646118164,2033400,TRV,4
139,2012-01-09,59.81999969482422,59.880001068115234,59.34000015258789,59.689998626708984,46.52046203613281,1930100,TRV,0
168,2012-01-10,60.22999954223633,60.279998779296875,59.779998779296875,60.099998474121094,46.840003967285156,2362800,TRV,1
197,2012-01-11,59.90999984741211,60.04999923706055,59.72999954223633,59.900001525878906,46.68413543701172,1777700,TRV,2
226,2012-01-12,60.04999923706055,60.369998931884766,59.599998474121094,59.79999923706055,46.60619354248047,2389200,TRV,3
255,2012-01-13,59.27000045776367,59.459999084472656,58.79999923706055,59.369998931884766,46.271060943603516,2089400,TRV,4
284,2012-01-17,59.86000061035156,60.310001373291016,59.529998779296875,59.689998626708984,46.52046203613281,2196200,TRV,1
313,2012-01-18,59.5,60.0,59.380001068115234,59.88999938964844,46.676326751708984,2287300,TRV,2
342,2012-01-19,59.97999954223633,60.45000076293945,59.88999938964844,60.29999923706055,46.995872497558594,2574600,TRV,3
371,2012-01-20,60.2599983215332,61.619998931884766,60.0,61.59000015258789,48.00125503540039,3968100,TRV,4
400,2012-01-23,61.540000915527344,61.61000061035156,60.16999816894531,60.290000915527344,46.98807907104492,3535100,TRV,0
429,2012-01-24,59.849998474121094,59.900001525878906,57.91999816894531,58.0,45.20333480834961,6661000,TRV,1
458,2012-01-25,57.95000076293945,59.20000076293945,57.45000076293945,59.150001525878906,46.099609375,6011900,TRV,2
487,2012-01-26,59.20000076293945,59.70000076293945,58.65999984741211,58.70000076293945,45.748897552490234,4054200,TRV,3
516,2012-01-27,58.349998474121094,58.58000183105469,57.400001525878906,58.04999923706055,45.242305755615234,3563100,TRV,4
545,2012-01-30,57.68000030517578,58.31999969482422,57.36000061035156,58.11000061035156,45.2890625,2582700,TRV,0
574,2012-01-31,58.4900016784668,58.790000915527344,58.029998779296875,58.29999923706055,45.437129974365234,3221500,TRV,1
603,2012-02-01,58.54999923706055,59.56999969482422,58.5099983215332,59.27000045776367,46.19314193725586,3682800,TRV,2
632,2012-02-02,59.09000015258789,59.41999816894531,58.939998626708984,59.38999938964844,46.28665542602539,2601500,TRV,3
661,2012-02-03,59.58000183105469,60.130001068115234,59.470001220703125,60.119998931884766,46.85559844970703,3329300,TRV,4
690,2012-02-06,59.09000015258789,59.779998779296875,59.09000015258789,59.33000183105469,46.23989486694336,1886400,TRV,0
719,2012-02-07,59.0,60.0,59.0,59.7400016784668,46.5594367980957,2186800,TRV,1
748,2012-02-08,59.65999984741211,59.88999938964844,59.209999084472656,59.849998474121094,46.645164489746094,2603500,TRV,2
777,2012-02-09,59.900001525878906,60.279998779296875,59.45000076293945,59.88999938964844,46.676326751708984,2041000,TRV,3
806,2012-02-10,59.41999816894531,59.650001525878906,58.970001220703125,59.380001068115234,46.27886962890625,1859600,TRV,4
835,2012-02-13,59.689998626708984,59.970001220703125,58.790000915527344,58.9900016784668,45.97490692138672,2568200,TRV,0
864,2012-02-14,58.59000015258789,59.189998626708984,58.529998779296875,59.15999984741211,46.107391357421875,2382300,TRV,1
893,2012-02-15,59.220001220703125,59.63999938964844,59.029998779296875,59.290000915527344,46.208717346191406,2868700,TRV,2
922,2012-02-16,59.40999984741211,59.709999084472656,59.040000915527344,59.439998626708984,46.32562255859375,2795400,TRV,3
951,2012-02-17,59.68000030517578,60.0,59.470001220703125,59.849998474121094,46.645164489746094,2709900,TRV,4
980,2012-02-21,59.95000076293945,59.9900016784668,58.97999954223633,59.27000045776367,46.19314193725586,2559600,TRV,1
1009,2012-02-22,59.33000183105469,59.810001373291016,58.81999969482422,58.939998626708984,45.93593978881836,2909100,TRV,2
1038,2012-02-23,58.880001068115234,59.5,58.599998474121094,58.959999084472656,45.95151901245117,2795100,TRV,3
1067,2012-02-24,58.97999954223633,59.290000915527344,58.40999984741211,58.599998474121094,45.67094802856445,2163500,TRV,4
1096,2012-02-27,58.36000061035156,58.84000015258789,57.91999816894531,58.599998474121094,45.67094802856445,2292100,TRV,0
1125,2012-02-28,58.65999984741211,58.81999969482422,58.279998779296875,58.400001525878906,45.51508331298828,1928900,TRV,1
1154,2012-02-29,58.400001525878906,58.689998626708984,57.4900016784668,57.970001220703125,45.17996597290039,4448500,TRV,2
1183,2012-03-01,57.9900016784668,58.849998474121094,57.869998931884766,58.41999816894531,45.53065490722656,2952300,TRV,3
1212,2012-03-02,57.65999984741211,58.08000183105469,57.459999084472656,58.0099983215332,45.21113204956055,2206100,TRV,4
