,date,open,high,low,close,adjcp,volume,tic,day
24,2012-01-03,51.2400016784668,51.70000076293945,51.11000061035156,51.4900016784668,43.781532287597656,6021000,UNH,1
53,2012-01-04,51.2599983215332,52.25,51.25,52.2400016784668,44.419254302978516,5406400,UNH,2
82,2012-01-05,51.88999938964844,52.72999954223633,51.79999923706055,52.59000015258789,44.716854095458984,6330100,UNH,3
111,2012-01-06,52.75,53.41999816894531,52.47999954223633,52.779998779296875,44.87842559814453,5321700,UNH,4
140,2012-01-09,52.630001068115234,52.970001220703125,52.470001220703125,52.720001220703125,44.82740020751953,5079300,UNH,0
169,2012-01-10,52.959999084472656,53.040000915527344,52.369998931884766,52.619998931884766,44.74237060546875,7063200,UNH,1
198,2012-01-11,52.4900016784668,53.119998931884766,52.060001373291016,53.0099983215332,45.073970794677734,4281600,UNH,2
227,2012-01-12,53.220001220703125,53.2400016784668,52.529998779296875,52.869998931884766,44.954925537109375,4550300,UNH,3
256,2012-01-13,52.689998626708984,52.790000915527344,51.93000030517578,52.70000076293945,44.810386657714844,4995700,UNH,4
285,2012-01-17,53.04999923706055,53.63999938964844,52.869998931884766,53.56999969482422,45.550148010253906,6495700,UNH,1
314,2012-01-18,53.349998474121094,54.18000030517578,52.93000030517578,53.939998626708984,45.864742279052734,8389800,UNH,2
343,2012-01-19,52.310001373291016,53.02000045776367,51.41999816894531,52.31999969482422,44.48727035522461,18656600,UNH,3
372,2012-01-20,52.34000015258789,52.5099983215332,51.61000061035156,52.27000045776367,44.44475555419922,8873800,UNH,4
401,2012-01-23,52.20000076293945,53.04999923706055,51.959999084472656,52.43000030517578,44.580814361572266,7535900,UNH,0
430,2012-01-24,52.27000045776367,52.52000045776367,51.22999954223633,51.33000183105469,43.645484924316406,10397800,UNH,1
459,2012-01-25,50.630001068115234,51.650001525878906,49.81999969482422,51.56999969482422,43.84956359863281,13121500,UNH,2
488,2012-01-26,51.61000061035156,51.720001220703125,49.900001525878906,50.349998474121094,42.81220245361328,13576200,UNH,3
517,2012-01-27,50.34000015258789,51.2400016784668,50.31999969482422,51.02000045776367,43.38190841674805,7027300,UNH,4
546,2012-01-30,50.81999969482422,51.16999816894531,50.06999969482422,51.06999969482422,43.424415588378906,4852400,UNH,0
575,2012-01-31,51.400001525878906,52.880001068115234,51.380001068115234,51.790000915527344,44.03661346435547,8843000,UNH,1
604,2012-02-01,52.15999984741211,53.61000061035156,52.119998931884766,53.2599983215332,45.28654861450195,7480600,UNH,2
633,2012-02-02,53.25,53.25,52.0099983215332,52.540000915527344,44.67434310913086,5319200,UNH,3
662,2012-02-03,52.7400016784668,52.77000045776367,50.75,51.310001373291016,43.62849044799805,9676900,UNH,4
691,2012-02-06,50.97999954223633,51.400001525878906,50.68000030517578,51.290000915527344,43.611473083496094,8577100,UNH,0
720,2012-02-07,51.09000015258789,52.130001068115234,50.90999984741211,52.029998779296875,44.24069595336914,5243300,UNH,1
749,2012-02-08,52.0,52.369998931884766,51.650001525878906,52.13999938964844,44.33422088623047,6022000,UNH,2
778,2012-02-09,52.209999084472656,53.529998779296875,52.20000076293945,53.060001373291016,45.11649703979492,9613500,UNH,3
807,2012-02-10,52.56999969482422,53.5,52.310001373291016,53.31999969482422,45.33757400512695,6574700,UNH,4
836,2012-02-13,53.5,54.2400016784668,53.380001068115234,53.849998474121094,45.78822326660156,5703700,UNH,0
865,2012-02-14,53.900001525878906,54.4900016784668,53.56999969482422,54.459999084472656,46.306915283203125,5982000,UNH,1
894,2012-02-15,54.529998779296875,54.84000015258789,54.220001220703125,54.619998931884766,46.44294738769531,7009300,UNH,2
923,2012-02-16,54.619998931884766,54.88999938964844,54.2599983215332,54.790000915527344,46.58750534057617,6907700,UNH,3
952,2012-02-17,54.810001373291016,54.849998474121094,54.540000915527344,54.68000030517578,46.49397659301758,6387400,UNH,4
981,2012-02-21,54.9900016784668,55.529998779296875,54.880001068115234,55.31999969482422,47.03816223144531,7502200,UNH,1
1010,2012-02-22,55.060001373291016,55.63999938964844,54.68000030517578,55.18000030517578,46.919105529785156,6760100,UNH,2
1039,2012-02-23,55.150001525878906,55.36000061035156,54.65999984741211,54.939998626708984,46.71505355834961,7195800,UNH,3
1068,2012-02-24,55.11000061035156,55.7400016784668,55.0,55.650001525878906,47.31875228881836,5004500,UNH,4
1097,2012-02-27,55.34000015258789,56.15999984741211,55.27000045776367,55.72999954223633,47.386775970458984,5355900,UNH,0
1126,2012-02-28,55.630001068115234,55.95000076293945,55.25,55.84000015258789,47.48030471801758,4538200,UNH,1
1155,2012-02-29,55.9900016784668,56.099998474121094,55.560001373291016,55.75,47.40378189086914,5582600,UNH,2
1184,2012-03-01,55.75,56.099998474121094,55.59000015258789,55.9900016784668,47.74744415283203,4258200,UNH,3
1213,2012-03-02,55.959999084472656,56.04999923706055,55.369998931884766,55.84000015258789,47.61954116821289,4408900,UNH,4
1242,2012-03-05,55.63999938964844,56.08000183105469,55.040000915527344,55.040000915527344,46.937294006347656,4739900,UNH,0
1271,2012-03-06,54.709999084472656,55.40999984741211,54.119998931884766,54.459999084472656,46.44269561767578,4445700,UNH,1
1300,2012-03-07,54.36000061035156,54.72999954223633,54.2400016784668,54.38999938964844,46.38301086425781,4474900,UNH,2
1329,2012-03-08,54.869998931884766,56.029998779296875,54.810001373291016,55.61000061035156,47.42340087890625,4883600,UNH,3
1358,2012-03-09,55.75,56.11000061035156,55.5,55.779998779296875,47.568359375,4743200,UNH,4
1387,2012-03-12,55.79999923706055,55.880001068115234,54.95000076293945,55.02000045776367,46.92025375366211,4567000,UNH,0
1416,2012-03-13,55.119998931884766,55.380001068115234,54.70000076293945,55.33000183105469,47.18461608886719,6497400,UNH,1
1445,2012-03-14,55.15999984741211,55.869998931884766,55.040000915527344,55.779998779296875,47.568359375,6684000,UNH,2
1474,2012-03-15,55.900001525878906,56.25,55.540000915527344,55.709999084472656,47.508670806884766,4598700,UNH,3
1503,2012-03-16,55.58000183105469,55.81999969482422,55.400001525878906,55.59000015258789,47.40634536743164,8510100,UNH,4
1532,2012-03-19,56.310001373291016,56.34000015258789,55.79999923706055,56.130001068115234,47.866844177246094,5347700,UNH,0
1561,2012-03-20,55.93000030517578,56.029998779296875,54.72999954223633,54.779998779296875,46.715576171875,5378100,UNH,1
1590,2012-03-21,54.9900016784668,54.9900016784668,53.959999084472656,53.970001220703125,46.02482986450195,6252500,UNH,2
1619,2012-03-22,53.619998931884766,54.209999084472656,53.400001525878906,53.880001068115234,45.94807052612305,7550900,UNH,3
1648,2012-03-23,53.869998931884766,53.9900016784668,53.52000045776367,53.65999984741211,45.76046371459961,6471200,UNH,4
1677,2012-03-26,53.88999938964844,55.099998474121094,53.86000061035156,55.099998474121094,46.98845672607422,5098400,UNH,0
1706,2012-03-27,55.25,55.56999969482422,54.18000030517578,55.43000030517578,47.2698974609375,7455900,UNH,1
1735,2012-03-28,55.38999938964844,55.959999084472656,54.880001068115234,55.439998626708984,47.27842330932617,5435300,UNH,2
1764,2012-03-29,55.0,58.31999969482422,54.97999954223633,58.11000061035156,49.55535125732422,17258500,UNH,3
1793,2012-03-30,57.970001220703125,59.43000030517578,57.7400016784668,58.939998626708984,50.26316452026367,10802600,UNH,4
1822,2012-04-02,58.939998626708984,59.27000045776367,58.11000061035156,59.119998931884766,50.41666030883789,9105900,UNH,0
1851,2012-04-03,59.02000045776367,59.61000061035156,58.720001220703125,59.400001525878906,50.655452728271484,7948100,UNH,1
1880,2012-04-04,59.15999984741211,59.279998779296875,58.66999816894531,59.060001373291016,50.365501403808594,4791300,UNH,2
1909,2012-04-05,58.81999969482422,59.189998626708984,58.599998474121094,59.0099983215332,50.32286071777344,4826800,UNH,3
1938,2012-04-09,58.52000045776367,58.869998931884766,58.0099983215332,58.13999938964844,49.5809326171875,4755600,UNH,0
1967,2012-04-10,57.959999084472656,58.33000183105469,57.220001220703125,57.560001373291016,49.08631896972656,5841700,UNH,1
1996,2012-04-11,58.08000183105469,58.540000915527344,57.849998474121094,58.02000045776367,49.478614807128906,6496000,UNH,2
2025,2012-04-12,58.029998779296875,58.619998931884766,57.720001220703125,58.459999084472656,49.85382843017578,4303200,UNH,3
2054,2012-04-13,58.38999938964844,58.54999923706055,57.7400016784668,58.04999923706055,49.504188537597656,5655400,UNH,4
2083,2012-04-16,58.349998474121094,58.349998474121094,57.36000061035156,57.36000061035156,48.915771484375,6628000,UNH,0
2112,2012-04-17,57.61000061035156,58.400001525878906,57.29999923706055,58.099998474121094,49.54683303833008,5896300,UNH,1
2141,2012-04-18,57.70000076293945,57.70000076293945,57.11000061035156,57.31999969482422,48.881649017333984,6551300,UNH,2
2170,2012-04-19,57.279998779296875,59.349998474121094,56.9900016784668,58.709999084472656,50.06703186035156,10754500,UNH,3
2199,2012-04-20,59.15999984741211,59.709999084472656,58.93000030517578,59.5099983215332,50.74925231933594,8378800,UNH,4
2228,2012-04-23,59.040000915527344,59.33000183105469,58.900001525878906,59.189998626708984,50.47636032104492,4471400,UNH,0
2257,2012-04-24,59.02000045776367,59.20000076293945,58.470001220703125,58.720001220703125,50.075557708740234,5030600,UNH,1
2286,2012-04-25,58.790000915527344,59.5,58.66999816894531,58.869998931884766,50.203468322753906,6091300,UNH,2
2315,2012-04-26,56.939998626708984,58.66999816894531,56.470001220703125,58.369998931884766,49.777076721191406,9384700,UNH,3
2344,2012-04-27,58.61000061035156,58.7400016784668,57.59000015258789,57.90999984741211,49.384796142578125,7509600,UNH,4
2373,2012-04-30,56.95000076293945,57.47999954223633,55.47999954223633,56.150001525878906,47.88390350341797,9874300,UNH,0
2402,2012-05-01,56.27000045776367,57.38999938964844,56.150001525878906,57.130001068115234,48.71962356567383,4887100,UNH,1
2431,2012-05-02,56.77000045776367,57.41999816894531,56.56999969482422,56.65999984741211,48.318817138671875,5175400,UNH,2
2460,2012-05-03,56.52000045776367,56.52000045776367,55.38999938964844,55.720001220703125,47.51718521118164,7296800,UNH,3
2489,2012-05-04,55.650001525878906,55.72999954223633,54.65999984741211,54.720001220703125,46.6644172668457,5787500,UNH,4
2518,2012-05-07,54.349998474121094,55.43000030517578,54.2599983215332,55.25,47.116397857666016,4076600,UNH,0
2547,2012-05-08,55.2400016784668,55.970001220703125,54.90999984741211,55.81999969482422,47.60247802734375,4702900,UNH,1
2576,2012-05-09,55.369998931884766,55.959999084472656,54.849998474121094,55.220001220703125,47.0908088684082,6635800,UNH,2
2605,2012-05-10,55.560001373291016,55.86000061035156,55.029998779296875,55.290000915527344,47.150508880615234,4030800,UNH,3
2634,2012-05-11,55.20000076293945,55.63999938964844,55.02000045776367,55.20000076293945,47.07376480102539,3937800,UNH,4
2663,2012-05-14,54.81999969482422,55.56999969482422,54.56999969482422,55.15999984741211,47.039642333984375,4634300,UNH,0
2692,2012-05-15,55.02000045776367,55.70000076293945,54.7599983215332,54.939998626708984,46.85203170776367,5514500,UNH,1
2721,2012-05-16,55.040000915527344,55.290000915527344,54.84000015258789,54.900001525878906,46.81791687011719,4036200,UNH,2
2750,2012-05-17,55.06999969482422,55.459999084472656,54.72999954223633,54.880001068115234,46.800865173339844,5465300,UNH,3
2779,2012-05-18,54.88999938964844,55.34000015258789,53.779998779296875,53.9900016784668,46.0418701171875,6420400,UNH,4
2808,2012-05-21,54.09000015258789,55.599998474121094,54.08000183105469,55.54999923706055,47.372215270996094,4825900,UNH,0
2837,2012-05-22,55.7599983215332,56.630001068115234,55.5,55.720001220703125,47.51718521118164,5832200,UNH,1
2866,2012-05-23,55.45000076293945,55.880001068115234,54.70000076293945,55.36000061035156,47.21018981933594,4671800,UNH,2
2895,2012-05-24,55.029998779296875,56.7400016784668,55.0099983215332,56.220001220703125,47.943603515625,7192400,UNH,3
2924,2012-05-25,56.16999816894531,56.560001373291016,55.869998931884766,56.119998931884766,47.858306884765625,4306500,UNH,4
2953,2012-05-29,56.08000183105469,56.25,55.5,56.150001525878906,47.88390350341797,5005900,UNH,1
2982,2012-05-30,56.0,56.470001220703125,55.779998779296875,56.16999816894531,47.90093994140625,4398100,UNH,2
3011,2012-05-31,56.209999084472656,56.33000183105469,55.459999084472656,55.77000045776367,47.55984115600586,6343300,UNH,3
3040,2012-06-01,55.220001220703125,55.900001525878906,54.939998626708984,55.040000915527344,46.937294006347656,5703900,UNH,4
3069,2012-06-04,54.77000045776367,55.349998474121094,54.689998626708984,54.90999984741211,46.82643508911133,5508000,UNH,0
3098,2012-06-05,54.84000015258789,56.20000076293945,54.720001220703125,56.040000915527344,47.790096282958984,6112200,UNH,1
3127,2012-06-06,56.61000061035156,57.70000076293945,56.5,57.70000076293945,49.20570373535156,6776600,UNH,2
3156,2012-06-07,57.79999923706055,58.38999938964844,57.400001525878906,57.45000076293945,48.992515563964844,7249100,UNH,3
3185,2012-06-08,56.84000015258789,58.38999938964844,56.84000015258789,58.0,49.461551666259766,6406900,UNH,4
3214,2012-06-11,58.220001220703125,58.380001068115234,57.400001525878906,57.459999084472656,49.00104904174805,6236300,UNH,0
3243,2012-06-12,57.470001220703125,58.130001068115234,57.0,57.84000015258789,49.32510757446289,6023900,UNH,1
