,date,open,high,low,close,adjcp,volume,tic,day
27,2012-01-03,33.45000076293945,33.70000076293945,33.040000915527344,33.060001373291016,24.575782775878906,7248100,WBA,1
56,2012-01-04,33.0099983215332,33.08000183105469,32.40999984741211,32.83000183105469,24.404813766479492,8165300,WBA,2
85,2012-01-05,32.4900016784668,33.150001525878906,32.459999084472656,32.720001220703125,24.323036193847656,9351200,WBA,3
114,2012-01-06,32.72999954223633,33.20000076293945,32.31999969482422,33.08000183105469,24.590654373168945,8825400,WBA,4
143,2012-01-09,33.099998474121094,33.52000045776367,32.84000015258789,33.5,24.902870178222656,7636500,WBA,0
172,2012-01-10,33.650001525878906,34.59000015258789,33.56999969482422,34.400001525878906,25.5718994140625,10254900,WBA,1
201,2012-01-11,34.33000183105469,34.38999938964844,33.86000061035156,34.0099983215332,25.281984329223633,6538700,WBA,2
230,2012-01-12,34.16999816894531,34.18000030517578,33.18000030517578,33.27000045776367,24.731889724731445,7955200,WBA,3
259,2012-01-13,33.18000030517578,33.22999954223633,32.5,32.630001068115234,24.256132125854492,6907200,WBA,4
288,2012-01-17,32.93000030517578,33.33000183105469,32.81999969482422,33.20000076293945,24.67985725402832,6342000,WBA,1
317,2012-01-18,33.189998626708984,33.7599983215332,32.93000030517578,33.75,25.088708877563477,5444800,WBA,2
346,2012-01-19,33.310001373291016,33.88999938964844,33.060001373291016,33.5,24.902870178222656,7254100,WBA,3
375,2012-01-20,33.630001068115234,33.650001525878906,33.099998474121094,33.47999954223633,24.88799476623535,9156300,WBA,4
404,2012-01-23,33.43000030517578,33.91999816894531,33.290000915527344,33.86000061035156,25.170482635498047,6109900,WBA,0
433,2012-01-24,33.790000915527344,34.290000915527344,33.58000183105469,34.27000045776367,25.475265502929688,8817700,WBA,1
462,2012-01-25,34.09000015258789,34.790000915527344,33.83000183105469,34.689998626708984,25.78748321533203,10498400,WBA,2
491,2012-01-26,34.720001220703125,35.0,34.2400016784668,34.31999969482422,25.512426376342773,10643800,WBA,3
520,2012-01-27,34.310001373291016,34.38999938964844,33.959999084472656,34.22999954223633,25.445518493652344,5403900,WBA,4
549,2012-01-30,34.06999969482422,34.13999938964844,33.58000183105469,33.630001068115234,24.99950408935547,7464000,WBA,0
578,2012-01-31,33.79999923706055,33.849998474121094,33.060001373291016,33.36000061035156,24.798789978027344,13599200,WBA,1
607,2012-02-01,33.47999954223633,33.630001068115234,33.0,33.220001220703125,24.69472885131836,12924500,WBA,2
636,2012-02-02,33.31999969482422,33.90999984741211,33.209999084472656,33.529998779296875,24.9251651763916,10113400,WBA,3
665,2012-02-03,33.20000076293945,33.970001220703125,33.20000076293945,33.650001525878906,25.014373779296875,13180600,WBA,4
694,2012-02-06,33.4900016784668,35.349998474121094,33.4900016784668,34.279998779296875,25.482688903808594,19906700,WBA,0
723,2012-02-07,33.5,34.0099983215332,33.439998626708984,33.459999084472656,24.873136520385742,13065100,WBA,1
752,2012-02-08,33.5,33.599998474121094,32.959999084472656,33.130001068115234,24.627817153930664,9285900,WBA,2
