,date,open,high,low,close,adjcp,volume,tic,day
28,2012-01-03,59.970001220703125,61.060001373291016,59.869998931884766,60.33000183105469,47.333106994628906,12668800,WMT,1
57,2012-01-04,60.209999084472656,60.349998474121094,59.470001220703125,59.709999084472656,46.84667205810547,9593300,WMT,2
86,2012-01-05,59.349998474121094,59.619998931884766,58.369998931884766,59.41999816894531,46.619144439697266,12768200,WMT,3
115,2012-01-06,59.41999816894531,59.45000076293945,58.869998931884766,59.0,46.28963088989258,8069400,WMT,4
144,2012-01-09,59.029998779296875,59.54999923706055,58.91999816894531,59.18000030517578,46.430843353271484,6679300,WMT,0
173,2012-01-10,59.43000030517578,59.709999084472656,58.97999954223633,59.040000915527344,46.32099533081055,6907300,WMT,1
202,2012-01-11,59.060001373291016,59.529998779296875,59.040000915527344,59.400001525878906,46.60346221923828,6365600,WMT,2
231,2012-01-12,59.790000915527344,60.0,59.400001525878906,59.5,46.68190383911133,7236400,WMT,3
260,2012-01-13,59.18000030517578,59.61000061035156,59.0099983215332,59.540000915527344,46.713287353515625,7729300,WMT,4
289,2012-01-17,59.869998931884766,60.11000061035156,59.52000045776367,59.849998474121094,46.956512451171875,8500000,WMT,1
318,2012-01-18,59.790000915527344,60.029998779296875,59.650001525878906,60.0099983215332,47.08205032348633,5911400,WMT,2
347,2012-01-19,59.93000030517578,60.72999954223633,59.75,60.61000061035156,47.552791595458984,9234600,WMT,3
376,2012-01-20,60.75,61.25,60.66999816894531,61.0099983215332,47.866615295410156,10378800,WMT,4
405,2012-01-23,60.810001373291016,60.97999954223633,60.5099983215332,60.90999984741211,47.78816223144531,7134100,WMT,0
434,2012-01-24,60.75,62.0,60.75,61.38999938964844,48.16475296020508,7362800,WMT,1
463,2012-01-25,61.18000030517578,61.61000061035156,61.040000915527344,61.470001220703125,48.227508544921875,5915800,WMT,2
492,2012-01-26,61.79999923706055,61.84000015258789,60.77000045776367,60.970001220703125,47.83523178100586,7436200,WMT,3
521,2012-01-27,60.86000061035156,61.119998931884766,60.540000915527344,60.709999084472656,47.63124465942383,6287300,WMT,4
550,2012-01-30,60.470001220703125,61.31999969482422,60.349998474121094,61.29999923706055,48.09413146972656,7636900,WMT,0
579,2012-01-31,61.529998779296875,61.56999969482422,60.58000183105469,61.36000061035156,48.14121627807617,9761500,WMT,1
608,2012-02-01,61.790000915527344,62.630001068115234,61.790000915527344,62.18000030517578,48.78456115722656,12130600,WMT,2
637,2012-02-02,62.400001525878906,62.470001220703125,61.81999969482422,61.939998626708984,48.59626007080078,6211300,WMT,3
666,2012-02-03,62.31999969482422,62.43000030517578,61.70000076293945,62.029998779296875,48.6668701171875,7727200,WMT,4
695,2012-02-06,61.849998474121094,61.97999954223633,61.70000076293945,61.880001068115234,48.5491943359375,5480600,WMT,0
724,2012-02-07,61.619998931884766,61.900001525878906,61.619998931884766,61.689998626708984,48.40012741088867,6084400,WMT,1
753,2012-02-08,61.90999984741211,62.02000045776367,61.22999954223633,61.619998931884766,48.3452033996582,7260000,WMT,2
782,2012-02-09,61.58000183105469,62.15999984741211,61.58000183105469,61.959999084472656,48.61195755004883,6453100,WMT,3
811,2012-02-10,61.68000030517578,61.90999984741211,61.380001068115234,61.900001525878906,48.56488800048828,5501000,WMT,4
840,2012-02-13,62.0099983215332,62.08000183105469,61.72999954223633,61.790000915527344,48.47856903076172,4175000,WMT,0
869,2012-02-14,61.90999984741211,62.2400016784668,61.790000915527344,62.220001220703125,48.81594467163086,5173100,WMT,1
898,2012-02-15,62.31999969482422,62.439998626708984,61.59000015258789,61.7599983215332,48.45504379272461,5833700,WMT,2
927,2012-02-16,61.77000045776367,62.189998626708984,61.70000076293945,62.040000915527344,48.67470932006836,7256400,WMT,3
956,2012-02-17,62.31999969482422,62.56999969482422,61.90999984741211,62.47999954223633,49.01993179321289,8191800,WMT,4
985,2012-02-21,60.33000183105469,60.5,59.66999816894531,60.06999969482422,47.129119873046875,23894800,WMT,1
1014,2012-02-22,59.58000183105469,59.900001525878906,58.369998931884766,58.599998474121094,45.975807189941406,28630200,WMT,2
1043,2012-02-23,58.59000015258789,58.900001525878906,58.209999084472656,58.540000915527344,45.92872619628906,14880300,WMT,3
1072,2012-02-24,58.75,58.95000076293945,58.5,58.790000915527344,46.12486267089844,9925900,WMT,4
1101,2012-02-27,58.70000076293945,58.779998779296875,58.290000915527344,58.459999084472656,45.86595916748047,12258800,WMT,0
1130,2012-02-28,58.439998626708984,59.099998474121094,58.349998474121094,58.93000030517578,46.23470687866211,10761900,WMT,1
1159,2012-02-29,58.84000015258789,59.33000183105469,58.720001220703125,59.08000183105469,46.35239028930664,11484400,WMT,2
1188,2012-03-01,59.36000061035156,59.41999816894531,58.63999938964844,58.81999969482422,46.14841079711914,16283900,WMT,3
1217,2012-03-02,58.9900016784668,59.279998779296875,58.79999923706055,59.0099983215332,46.29746627807617,9848100,WMT,4
1246,2012-03-05,58.959999084472656,59.59000015258789,58.75,59.400001525878906,46.60346221923828,9651000,WMT,0
1275,2012-03-06,59.040000915527344,59.220001220703125,58.75,58.970001220703125,46.26609802246094,9057100,WMT,1
1304,2012-03-07,59.11000061035156,59.86000061035156,59.11000061035156,59.86000061035156,46.96435546875,14916900,WMT,2
1333,2012-03-08,59.84000015258789,59.95000076293945,59.45000076293945,59.77000045776367,47.20761489868164,7795600,WMT,3
1362,2012-03-09,59.83000183105469,60.20000076293945,59.83000183105469,60.08000183105469,47.45247268676758,6292900,WMT,4
1391,2012-03-12,60.16999816894531,60.900001525878906,60.09000015258789,60.68000030517578,47.92634582519531,7576800,WMT,0
1420,2012-03-13,60.93000030517578,61.08000183105469,60.52000045776367,61.0,48.17910385131836,8734600,WMT,1
1449,2012-03-14,60.84000015258789,61.150001525878906,60.689998626708984,61.08000183105469,48.24228286743164,6375000,WMT,2
1478,2012-03-15,60.88999938964844,61.2599983215332,60.779998779296875,61.22999954223633,48.36076736450195,6755000,WMT,3
1507,2012-03-16,61.40999984741211,61.470001220703125,60.77000045776367,60.84000015258789,48.052738189697266,12077100,WMT,4
1536,2012-03-19,60.58000183105469,60.880001068115234,60.459999084472656,60.7400016784668,47.97374725341797,8251900,WMT,0
1565,2012-03-20,60.33000183105469,60.86000061035156,60.290000915527344,60.599998474121094,47.863162994384766,7911500,WMT,1
1594,2012-03-21,60.45000076293945,60.720001220703125,60.369998931884766,60.560001373291016,47.83158493041992,7302800,WMT,2
1623,2012-03-22,60.22999954223633,60.77000045776367,60.22999954223633,60.650001525878906,47.90267562866211,5710800,WMT,3
1652,2012-03-23,60.61000061035156,60.849998474121094,60.40999984741211,60.75,47.981658935546875,6957700,WMT,4
1681,2012-03-26,60.900001525878906,61.31999969482422,60.7599983215332,61.20000076293945,48.33707046508789,6214800,WMT,0
1710,2012-03-27,61.349998474121094,61.5,61.02000045776367,61.09000015258789,48.25020217895508,7351600,WMT,1
1739,2012-03-28,61.150001525878906,61.47999954223633,60.97999954223633,61.189998626708984,48.32917404174805,7124000,WMT,2
1768,2012-03-29,60.77000045776367,60.95000076293945,60.619998931884766,60.81999969482422,48.03694534301758,6691700,WMT,3
1797,2012-03-30,61.06999969482422,61.41999816894531,60.91999816894531,61.20000076293945,48.33707046508789,6941400,WMT,4
1826,2012-04-02,61.08000183105469,61.4900016784668,60.970001220703125,61.36000061035156,48.46343994140625,6465900,WMT,0
1855,2012-04-03,61.13999938964844,61.40999984741211,60.2400016784668,60.650001525878906,47.90267562866211,11180100,WMT,1
